id,scrimId,event_type,match_time,round_number,team_1_score,team_2_score,MapDataId
17,31,match_end,727.37,3,0,3,30
18,31,match_end,947.39,2,2,3,31
19,31,match_end,772.82,2,2,3,32
20,31,match_end,851.77,6,4,1,33
21,31,match_end,616.93,1,0,0,34
25,34,match_end,616.93,1,0,0,40
26,29,match_end,798.39,6,2,3,41
27,29,match_end,727.37,3,0,3,42
28,35,match_end,670.99,2,0,3,43
29,35,match_end,948.37,6,3,2,44
33,29,match_end,707.48,3,2,1,50
34,36,match_end,803.86,3,3,0,51
35,36,match_end,738.92,2,2,3,52
36,36,match_end,945.95,6,3,2,53
37,36,match_end,632.44,1,0,0,55
43,29,match_end,707.48,3,2,1,62
44,29,match_end,813.14,3,3,0,63
45,29,match_end,813.14,3,3,0,64
46,29,match_end,813.14,3,3,0,65
47,38,match_end,707.48,3,2,1,66
52,40,match_end,652.78,1,0,0,72
53,40,match_end,676.98,1,0,0,74
58,43,match_end,806.83,3,1,2,83
70,45,match_end,744.01,3,2,1,97
71,45,match_end,464.75,2,3,3,98
72,45,match_end,753.26,5,5,0,99
73,45,match_end,798.58,2,3,3,100
81,47,match_end,781.2,6,2,3,108
82,29,match_end,656.87,3,3,0,109
86,29,match_end,958.15,3,1,2,113
87,29,match_end,958.15,3,1,2,114
88,29,match_end,958.15,3,1,2,115
89,29,match_end,958.15,3,1,2,116
90,34,match_end,958.15,3,1,2,118
91,34,match_end,958.15,3,1,2,
92,51,match_end,958.15,3,1,2,120
96,53,match_end,801.94,6,4,1,125
97,54,match_end,801.94,6,4,1,126
98,55,match_end,801.94,6,4,1,127
99,53,match_end,927.28,2,3,3,128
100,53,match_end,799.84,3,0,3,130
101,53,match_end,822.79,6,4,1,131
109,57,match_end,624.55,3,3,0,139
110,57,match_end,508.88,2,0,3,140
111,57,match_end,820.52,5,5,0,141
112,57,match_end,684.76,2,3,3,142
113,57,match_end,684.76,2,3,3,143
114,57,match_end,454.58,1,0,0,
115,58,match_end,656.87,3,3,0,
116,58,match_end,577.34,2,3,3,
117,58,match_end,798.39,6,2,3,
118,58,match_end,798.39,6,2,3,
119,58,match_end,940.23,2,3,3,
120,58,match_end,417.66,1,0,0,151
121,58,match_end,417.66,1,0,0,152
122,58,match_end,713.41,3,2,1,153
123,59,match_end,999.34,2,3,3,155
124,59,match_end,633.98,6,4,1,156
125,59,match_end,991.26,2,2,3,157
126,59,match_end,605.22,1,0,0,158
127,59,match_end,851.02,3,2,1,159
128,60,match_end,652,3,1,2,160
129,60,match_end,841.3,2,1,3,161
130,60,match_end,832.56,6,4,1,162
131,60,match_end,1025.13,2,3,3,163
132,60,match_end,927.85,3,1,2,164
133,60,match_end,927.85,3,1,2,165
134,60,match_end,613.51,1,0,0,166
135,61,match_end,585.12,3,3,0,167
136,61,match_end,924.28,2,2,3,168
137,61,match_end,766.6,5,5,0,169
138,61,match_end,933.39,2,3,3,170
139,61,match_end,650.79,1,0,0,171
140,61,match_end,688.39,3,2,1,172
141,34,match_end,956.57,2,3,3,173
142,62,match_end,805.3,3,0,3,174
143,62,match_end,1041.44,2,3,3,175
144,62,match_end,931.8,6,3,2,176
