id,scrimId,event_type,match_time,resurrecter_team,resurrecter_player,resurrecter_hero,resurrectee_team,resurrectee_player,resurrectee_hero,MapDataId
1,69,mercy_rez,641.76,T_a02bf5e9,P_6a169184,Mercy,T_a02bf5e9,P_59dc0a66,Widowmaker,210
2,69,mercy_rez,773.31,T_a02bf5e9,P_6a169184,Mercy,T_a02bf5e9,P_3ed43f53,Tracer,210
3,69,mercy_rez,814.87,T_a02bf5e9,P_6a169184,Mercy,T_a02bf5e9,P_c31ad68b,Kiriko,210
4,75,mercy_rez,681.1,T_a02bf5e9,P_6b153e2e,Mercy,T_a02bf5e9,P_ccb13449,Echo,220
5,99,mercy_rez,756.21,T_5568bd9d,P_b2482e4c,Mercy,T_5568bd9d,P_3ade6b48,Pharah,325
7,142,mercy_rez,0,T_a02bf5e9,P_538c6de1,Mercy,T_a02bf5e9,P_d5cf57f8,Bastion,491
8,146,mercy_rez,348.15,T_5568bd9d,P_29d685c1,Mercy,T_5568bd9d,P_7ad5eb9b,Lúcio,501
9,146,mercy_rez,407.58,T_5568bd9d,P_29d685c1,Mercy,T_5568bd9d,P_b0cf3b85,Pharah,501
10,146,mercy_rez,486.14,T_5568bd9d,P_29d685c1,Mercy,T_5568bd9d,P_7ad5eb9b,Lúcio,501
11,154,mercy_rez,37.3,T_08f936eb,P_ceea55da,Mercy,T_08f936eb,P_6212408c,Sigma,526
13,156,mercy_rez,28.72,T_b16cd221,P_63576f56,Mercy,T_b16cd221,P_84d34cb8,Junkrat,545
14,156,mercy_rez,61.68,T_b16cd221,P_63576f56,Mercy,T_b16cd221,P_f1a57263,Echo,545
15,156,mercy_rez,200.13,T_b16cd221,P_63576f56,Mercy,T_b16cd221,P_99d0c092,Roadhog,545
16,156,mercy_rez,572.66,T_b16cd221,P_538c6de1,Mercy,T_b16cd221,P_63576f56,Moira,545
17,156,mercy_rez,612.03,T_b16cd221,P_538c6de1,Mercy,T_b16cd221,P_f1a57263,Widowmaker,545
18,156,mercy_rez,643.76,T_b16cd221,P_538c6de1,Mercy,T_b16cd221,P_84d34cb8,Pharah,545
19,156,mercy_rez,742.51,T_b16cd221,P_538c6de1,Mercy,T_b16cd221,P_84d34cb8,Pharah,545
20,158,mercy_rez,612.4,T_5568bd9d,P_d9cecacf,Mercy,T_5568bd9d,P_c65e98be,Wrecking Ball,560
21,158,mercy_rez,658.28,T_5568bd9d,P_d9cecacf,Mercy,T_5568bd9d,P_f081f9e5,Echo,560
22,164,mercy_rez,435.3,T_7f8fc438,P_538c6de1,Mercy,T_7f8fc438,P_10207168,Widowmaker,582
23,187,mercy_rez,245.26,T_a02bf5e9,P_9489e010,Mercy,T_a02bf5e9,P_11e07e10,Ana,630
24,187,mercy_rez,293.23,T_a02bf5e9,P_9489e010,Mercy,T_a02bf5e9,P_7b78ebde,Torbjörn,630
25,208,mercy_rez,543.79,T_7f8fc438,P_e2119203,Mercy,T_7f8fc438,P_99d0c092,Roadhog,705
26,208,mercy_rez,577.85,T_7f8fc438,P_e2119203,Mercy,T_7f8fc438,P_f1a57263,Soldier: 76,705
27,208,mercy_rez,708.42,T_7f8fc438,P_e2119203,Mercy,T_7f8fc438,P_63576f56,Illari,705
31,228,mercy_rez,0,T_5568bd9d,P_5b41a7d4,Mercy,T_5568bd9d,P_01870ab6,Kiriko,747
32,228,mercy_rez,0,T_a02bf5e9,P_f0819f5d,Mercy,T_a02bf5e9,P_ab7fc22e,Winston,747
33,228,mercy_rez,0,T_5568bd9d,P_5b41a7d4,Mercy,T_5568bd9d,P_e21f9a0c,Echo,747
51,248,mercy_rez,430.11,T_5568bd9d,P_8a414cec,Mercy,T_5568bd9d,P_7eb35dc4,Junkrat,806
52,248,mercy_rez,525.46,T_5568bd9d,P_8a414cec,Mercy,T_5568bd9d,P_7eb35dc4,Widowmaker,806
53,248,mercy_rez,557.22,T_5568bd9d,P_8a414cec,Mercy,T_5568bd9d,P_9871455a,Echo,806
54,248,mercy_rez,600.46,T_5568bd9d,P_8a414cec,Mercy,T_5568bd9d,P_1c120d0b,Sigma,806
55,248,mercy_rez,630.52,T_5568bd9d,P_8a414cec,Mercy,T_5568bd9d,P_9871455a,Echo,806
76,259,mercy_rez,123.39,T_5568bd9d,P_de5f8654,Mercy,T_5568bd9d,P_7359b808,Sojourn,844
77,259,mercy_rez,207.98,T_5568bd9d,P_de5f8654,Mercy,T_5568bd9d,P_2e8cb684,Baptiste,844
78,259,mercy_rez,257.93,T_5568bd9d,P_de5f8654,Mercy,T_5568bd9d,P_f65b6b44,Sigma,844
79,259,mercy_rez,662.55,T_5568bd9d,P_de5f8654,Mercy,T_5568bd9d,P_4bc579fa,Hanzo,844
80,259,mercy_rez,744.67,T_5568bd9d,P_de5f8654,Mercy,T_5568bd9d,P_f65b6b44,Sigma,844
81,276,mercy_rez,79.48,T_a02bf5e9,P_fe90d72b,Mercy,T_a02bf5e9,P_58a02028,Zenyatta,869
82,276,mercy_rez,133.24,T_a02bf5e9,P_fe90d72b,Mercy,T_a02bf5e9,P_58a02028,Zenyatta,869
83,276,mercy_rez,184.34,T_a02bf5e9,P_fe90d72b,Mercy,T_a02bf5e9,P_77c3708c,Torbjörn,869
84,276,mercy_rez,533.63,T_a02bf5e9,P_fe90d72b,Mercy,T_a02bf5e9,P_b18718c1,Wrecking Ball,869
85,276,mercy_rez,575.54,T_a02bf5e9,P_fe90d72b,Mercy,T_a02bf5e9,P_d90b7af8,Pharah,869
86,279,mercy_rez,329.24,T_a02bf5e9,P_98eb46a0,Mercy,T_a02bf5e9,P_6e4361fc,Ashe,892
94,287,mercy_rez,188.42,T_0ff7da8a,P_8bbca41e,Mercy,T_0ff7da8a,P_7359b808,Sojourn,929
95,291,mercy_rez,200.1,T_5568bd9d,P_449b9969,Mercy,T_5568bd9d,P_0b5958e2,Kiriko,936
96,293,mercy_rez,279.43,T_a02bf5e9,P_0e62f880,Mercy,T_a02bf5e9,P_84d69c58,Soldier: 76,947
97,293,mercy_rez,419.91,T_a02bf5e9,P_0e62f880,Mercy,T_a02bf5e9,P_e2b808b0,Illari,947
98,293,mercy_rez,463.91,T_a02bf5e9,P_0e62f880,Mercy,T_a02bf5e9,P_46543993,Pharah,947
99,294,mercy_rez,463.81,T_5568bd9d,P_daabcda0,Mercy,T_5568bd9d,P_d03fb691,Tracer,949
100,294,mercy_rez,553.73,T_5568bd9d,P_daabcda0,Mercy,T_5568bd9d,P_d03fb691,Tracer,949
101,294,mercy_rez,651.56,T_5568bd9d,P_daabcda0,Mercy,T_5568bd9d,P_d03fb691,Tracer,949
102,296,mercy_rez,86.51,T_a02bf5e9,P_618850d8,Mercy,T_a02bf5e9,P_932887d7,Echo,955
103,296,mercy_rez,212.4,T_a02bf5e9,P_618850d8,Mercy,T_a02bf5e9,P_ab363563,Widowmaker,955
104,296,mercy_rez,398.02,T_a02bf5e9,P_618850d8,Mercy,T_a02bf5e9,P_932887d7,Junkrat,955
105,296,mercy_rez,483,T_a02bf5e9,P_618850d8,Mercy,T_a02bf5e9,P_ab363563,Widowmaker,955
107,308,mercy_rez,215.04,T_5568bd9d,P_c88272c9,Mercy,T_5568bd9d,P_36b48d73,Baptiste,1036
108,308,mercy_rez,80.33,T_5568bd9d,P_9a2e29fa,Mercy,T_5568bd9d,P_423d0d8d,Tracer,1037
109,308,mercy_rez,375.19,T_5568bd9d,P_9a2e29fa,Mercy,T_5568bd9d,P_7359b808,Echo,1037
110,308,mercy_rez,69.68,T_5568bd9d,P_9a2e29fa,Mercy,T_5568bd9d,P_423d0d8d,Soldier: 76,1039
111,308,mercy_rez,144.03,T_5568bd9d,P_9a2e29fa,Mercy,T_5568bd9d,P_36b48d73,Moira,1039
117,309,mercy_rez,336.44,T_a02bf5e9,P_02cb2f6d,Mercy,T_a02bf5e9,P_06a11623,Tracer,1045
118,309,mercy_rez,430.01,T_a02bf5e9,P_02cb2f6d,Mercy,T_a02bf5e9,P_06a11623,Tracer,1045
119,309,mercy_rez,776.03,T_a02bf5e9,P_02cb2f6d,Mercy,T_a02bf5e9,P_06a11623,Hanzo,1045
120,309,mercy_rez,814.59,T_a02bf5e9,P_02cb2f6d,Mercy,T_a02bf5e9,P_99c9bd6c,Sigma,1045
121,309,mercy_rez,934.33,T_a02bf5e9,P_02cb2f6d,Mercy,T_a02bf5e9,P_99c9bd6c,Sigma,1045
127,312,mercy_rez,93.53,T_5568bd9d,P_8a414cec,Mercy,T_5568bd9d,P_5a09da5a,Pharah,1060
128,312,mercy_rez,603.28,T_5568bd9d,P_8a414cec,Mercy,T_5568bd9d,P_5a09da5a,Venture,1061
129,312,mercy_rez,689.42,T_5568bd9d,P_8a414cec,Mercy,T_5568bd9d,P_b53ae62e,Genji,1061
130,312,mercy_rez,819,T_5568bd9d,P_8a414cec,Mercy,T_5568bd9d,P_b53ae62e,Genji,1061
152,330,mercy_rez,140.05,T_5568bd9d,P_f8ddadb1,Mercy,T_5568bd9d,P_019f32ba,Soldier: 76,1160
153,330,mercy_rez,203.88,T_5568bd9d,P_f8ddadb1,Mercy,T_5568bd9d,P_019f32ba,Soldier: 76,1160
154,344,mercy_rez,596.23,T_c8373fd8,P_ce9d2f74,Mercy,T_c8373fd8,P_7b905d37,Baptiste,1204
155,345,mercy_rez,271.73,T_32495e59,P_10619724,Mercy,T_32495e59,P_dc0ec923,Widowmaker,1212
156,345,mercy_rez,98,T_32495e59,P_10619724,Mercy,T_32495e59,P_dc0ec923,Bastion,1215
157,345,mercy_rez,183.7,T_32495e59,P_10619724,Mercy,T_32495e59,P_dc0ec923,Bastion,1215
158,345,mercy_rez,336.44,T_32495e59,P_10619724,Mercy,T_32495e59,P_5df3593b,Winston,1215
159,345,mercy_rez,446.1,T_32495e59,P_10619724,Mercy,T_32495e59,P_dc0ec923,Reaper,1215
160,345,mercy_rez,639.86,T_32495e59,P_10619724,Mercy,T_32495e59,P_dc0ec923,Reaper,1215
170,351,mercy_rez,71.71,T_a02bf5e9,P_f8ddadb1,Mercy,T_a02bf5e9,P_f1451817,Sigma,1256
171,351,mercy_rez,130.75,T_a02bf5e9,P_f8ddadb1,Mercy,T_a02bf5e9,P_bd5c9b35,Baptiste,1256
172,351,mercy_rez,434.72,T_a02bf5e9,P_f8ddadb1,Mercy,T_a02bf5e9,P_019f32ba,Hanzo,1256
173,351,mercy_rez,588.58,T_a02bf5e9,P_f8ddadb1,Mercy,T_a02bf5e9,P_bd5c9b35,Baptiste,1256
174,351,mercy_rez,702.35,T_a02bf5e9,P_f8ddadb1,Mercy,T_a02bf5e9,P_8aad7293,Hanzo,1256
175,351,mercy_rez,110.27,T_a02bf5e9,P_f8ddadb1,Mercy,T_a02bf5e9,P_336e8e68,Sojourn,1258
176,351,mercy_rez,140.7,T_a02bf5e9,P_f8ddadb1,Mercy,T_a02bf5e9,P_019f32ba,Soldier: 76,1258
177,351,mercy_rez,254.17,T_a02bf5e9,P_f8ddadb1,Mercy,T_a02bf5e9,P_8aad7293,Kiriko,1258
183,354,mercy_rez,303.7,T_5568bd9d,P_62ab6c80,Mercy,T_5568bd9d,P_6623cc58,Tracer,1273
184,354,mercy_rez,111.43,T_a02bf5e9,P_389fccbf,Mercy,T_a02bf5e9,P_b4e90053,Widowmaker,1274
185,354,mercy_rez,234.95,T_5568bd9d,P_62ab6c80,Mercy,T_5568bd9d,P_6623cc58,Echo,1274
186,354,mercy_rez,257.92,T_a02bf5e9,P_389fccbf,Mercy,T_a02bf5e9,P_b4e90053,Symmetra,1274
188,385,mercy_rez,154.47,T_a02bf5e9,P_4230ccc3,Mercy,T_a02bf5e9,P_98456926,Cassidy,1357
189,385,mercy_rez,443.41,T_a02bf5e9,P_4230ccc3,Mercy,T_a02bf5e9,P_a32c1c60,Ana,1357
190,385,mercy_rez,517.96,T_a02bf5e9,P_4230ccc3,Mercy,T_a02bf5e9,P_a32c1c60,Ana,1357
191,402,mercy_rez,166.92,T_a02bf5e9,P_fa787f36,Mercy,T_a02bf5e9,P_5cdbebff,Ana,1415
192,402,mercy_rez,329.02,T_a02bf5e9,P_fa787f36,Mercy,T_a02bf5e9,P_5cdbebff,Ana,1415
193,402,mercy_rez,147.49,T_a02bf5e9,P_fa787f36,Mercy,T_a02bf5e9,P_5cdbebff,Tracer,1416
194,402,mercy_rez,395.24,T_a02bf5e9,P_fa787f36,Mercy,T_a02bf5e9,P_5cdbebff,Tracer,1416
195,402,mercy_rez,29.26,T_a02bf5e9,P_fa787f36,Mercy,T_a02bf5e9,P_c57c856d,Kiriko,1417
196,402,mercy_rez,349.67,T_a02bf5e9,P_fa787f36,Mercy,T_a02bf5e9,P_5cdbebff,Tracer,1417
197,402,mercy_rez,420.75,T_a02bf5e9,P_fa787f36,Mercy,T_a02bf5e9,P_c57c856d,Kiriko,1417
198,402,mercy_rez,46.45,T_a02bf5e9,P_fa787f36,Mercy,T_a02bf5e9,P_c57c856d,Kiriko,1418
199,402,mercy_rez,314.9,T_a02bf5e9,P_fa787f36,Mercy,T_a02bf5e9,P_c57c856d,Kiriko,1418
200,402,mercy_rez,525.77,T_a02bf5e9,P_fa787f36,Mercy,T_a02bf5e9,P_632193b6,Echo,1418
201,402,mercy_rez,662.03,T_a02bf5e9,P_fa787f36,Mercy,T_a02bf5e9,P_5cdbebff,Sombra,1418
202,402,mercy_rez,312.5,T_a02bf5e9,P_fa787f36,Mercy,T_a02bf5e9,P_c57c856d,Kiriko,1419
203,402,mercy_rez,420.02,T_a02bf5e9,P_fa787f36,Mercy,T_a02bf5e9,P_632193b6,Echo,1419
219,410,mercy_rez,58.01,T_afa0a505,P_62ab6c80,Mercy,T_afa0a505,P_423d0d8d,Widowmaker,1449
220,410,mercy_rez,180.75,T_afa0a505,P_62ab6c80,Mercy,T_afa0a505,P_243640e8,Ashe,1449
221,410,mercy_rez,212.52,T_afa0a505,P_62ab6c80,Mercy,T_afa0a505,P_423d0d8d,Widowmaker,1449
222,410,mercy_rez,364.42,T_afa0a505,P_62ab6c80,Mercy,T_afa0a505,P_423d0d8d,Hanzo,1449
223,410,mercy_rez,422.01,T_175f0dae,P_2febc802,Mercy,T_175f0dae,P_6c5016ca,Widowmaker,1449
224,410,mercy_rez,666.4,T_175f0dae,P_2febc802,Mercy,T_175f0dae,P_f65b6b44,Winston,1449
233,411,mercy_rez,58.01,T_afa0a505,P_62ab6c80,Mercy,T_afa0a505,P_423d0d8d,Widowmaker,1458
