id,scrimId,event_type,match_time,round_number,capturing_team,objective_index,control_team_1_progress,control_team_2_progress,match_time_remaining,MapDataId
211,31,objective_captured,39.25,1,T_a02bf5e9,1,0,0.01,0,30
212,31,objective_captured,224.53,2,T_a02bf5e9,0,0,0.01,0,30
213,31,objective_captured,261.85,2,T_5568bd9d,0,0,31.11,0,30
214,31,objective_captured,272.46,2,T_a02bf5e9,0,8.83,31.12,0,30
215,31,objective_captured,318.41,2,T_5568bd9d,0,8.84,69.41,0,30
216,31,objective_captured,420.72,2,T_a02bf5e9,0,94.11,69.42,0,30
217,31,objective_captured,514.01,3,T_a02bf5e9,2,0,0.01,0,30
218,31,objective_captured,524.6,3,T_5568bd9d,2,0.01,8.83,0,30
219,31,objective_captured,568.67,3,T_a02bf5e9,2,36.75,8.84,0,30
220,31,objective_captured,663.03,3,T_5568bd9d,2,36.76,87.51,0,30
221,31,objective_captured,688.49,3,T_a02bf5e9,2,57.97,87.52,0,30
222,31,objective_captured,148.56,1,T_a02bf5e9,1,0,0,241.43,31
223,31,objective_captured,209.15,1,T_a02bf5e9,2,0,0,270.87,31
224,31,objective_captured,442.81,1,T_a02bf5e9,3,0,0,37.34,31
225,31,objective_captured,625.74,2,T_5568bd9d,1,0,0,207.05,31
226,31,objective_captured,689.82,2,T_5568bd9d,2,0,0,232.94,31
227,31,objective_captured,61.53,1,T_a02bf5e9,1,0,0,328.46,32
228,31,objective_captured,188.18,1,T_a02bf5e9,2,0,0,291.83,32
229,31,objective_captured,272.27,1,T_a02bf5e9,3,0,0,207.78,32
230,31,objective_captured,316.6,2,T_5568bd9d,1,0,0,345.66,32
231,31,objective_captured,513.13,2,T_5568bd9d,2,0,0,239.29,32
232,31,objective_captured,39.23,1,T_5568bd9d,0,0.02,0,0,33
233,31,objective_captured,87,1,T_a02bf5e9,0,68.25,0.02,0,33
234,31,objective_captured,178.48,1,T_5568bd9d,0,68.27,99.99,0,33
235,31,objective_captured,201.91,1,T_a02bf5e9,0,99.99,99.99,0,33
236,31,objective_captured,206.91,2,T_f27c3e61,2,0,0,40,33
237,31,objective_captured,260.88,2,T_5568bd9d,2,0.02,0,0,33
238,31,objective_captured,331.66,2,T_a02bf5e9,2,99.99,0.02,0,33
239,31,objective_captured,376.07,2,T_5568bd9d,2,99.99,63.45,0,33
240,31,objective_captured,381.08,3,T_f27c3e61,4,0,0,39.98,33
241,31,objective_captured,439.35,3,T_5568bd9d,4,0.02,0,0,33
242,31,objective_captured,509.34,4,T_f27c3e61,3,0,0,40,33
243,31,objective_captured,553.33,4,T_5568bd9d,3,0.02,0,0,33
244,31,objective_captured,652.63,5,T_f27c3e61,1,0,0,40,33
245,31,objective_captured,711.58,5,T_a02bf5e9,1,0,0.02,0,33
246,31,objective_captured,760.67,5,T_5568bd9d,1,0.02,70.17,0,33
271,29,objective_captured,48.98,1,T_a02bf5e9,0,0,0.02,0,41
272,29,objective_captured,118.97,2,T_f27c3e61,3,0,0,40,41
273,29,objective_captured,166.92,2,T_a02bf5e9,3,0,0.02,0,41
274,29,objective_captured,217.1,2,T_5568bd9d,3,0.02,71.66,0,41
275,29,objective_captured,304.24,3,T_f27c3e61,2,0,0,39.98,41
276,29,objective_captured,348.39,3,T_a02bf5e9,2,0,0.02,0,41
277,29,objective_captured,433.83,4,T_f27c3e61,1,0,0,39.98,41
278,29,objective_captured,496.84,4,T_a02bf5e9,1,0,0.02,0,41
279,29,objective_captured,548.36,4,T_5568bd9d,1,0.02,73.62,0,41
280,29,objective_captured,622.99,4,T_a02bf5e9,1,99.99,73.64,0,41
281,29,objective_captured,658.29,4,T_5568bd9d,1,99.99,99.99,0,41
282,29,objective_captured,662.71,5,T_f27c3e61,4,0,0,39.98,41
283,29,objective_captured,728.42,5,T_a02bf5e9,4,0,0.02,0,41
284,29,objective_captured,39.25,1,T_a02bf5e9,1,0,0.01,0,42
285,29,objective_captured,224.53,2,T_a02bf5e9,0,0,0.01,0,42
286,29,objective_captured,261.85,2,T_5568bd9d,0,0,31.11,0,42
287,29,objective_captured,272.46,2,T_a02bf5e9,0,8.83,31.12,0,42
288,29,objective_captured,318.41,2,T_5568bd9d,0,8.84,69.41,0,42
289,29,objective_captured,420.72,2,T_a02bf5e9,0,94.11,69.42,0,42
290,29,objective_captured,514.01,3,T_a02bf5e9,2,0,0.01,0,42
291,29,objective_captured,524.6,3,T_5568bd9d,2,0.01,8.83,0,42
292,29,objective_captured,568.67,3,T_a02bf5e9,2,36.75,8.84,0,42
293,29,objective_captured,663.03,3,T_5568bd9d,2,36.76,87.51,0,42
294,29,objective_captured,688.49,3,T_a02bf5e9,2,57.97,87.52,0,42
295,35,objective_captured,128.28,1,T_a02bf5e9,1,0,0,261.71,43
296,35,objective_captured,43.62,1,T_5568bd9d,0,0,0,0,44
297,35,objective_captured,113.61,2,T_f27c3e61,1,0,0,40,44
298,35,objective_captured,159.61,2,T_a02bf5e9,1,0,0.02,0,44
299,35,objective_captured,239.56,2,T_5568bd9d,1,0.02,99.99,0,44
300,35,objective_captured,309.55,3,T_f27c3e61,2,0,0,40,44
301,35,objective_captured,362.8,3,T_a02bf5e9,2,0,0.02,0,44
302,35,objective_captured,403.04,3,T_5568bd9d,2,0,57.53,0,44
303,35,objective_captured,448.01,3,T_a02bf5e9,2,64.23,57.55,0,44
304,35,objective_captured,485.16,3,T_5568bd9d,2,64.25,99.99,0,44
305,35,objective_captured,522.58,4,T_f27c3e61,3,0,0,39.98,44
306,35,objective_captured,589.72,4,T_5568bd9d,3,0.02,0,0,44
307,35,objective_captured,674.7,4,T_a02bf5e9,3,99.99,0.02,0,44
308,35,objective_captured,753.44,5,T_f27c3e61,4,0,0,39.98,44
309,35,objective_captured,799.5,5,T_5568bd9d,4,0.02,0,0,44
310,35,objective_captured,878.4,5,T_a02bf5e9,4,99.99,0.02,0,44
311,35,objective_captured,52.49,1,T_a02bf5e9,1,0,0,337.5,45
312,35,objective_captured,167.63,1,T_a02bf5e9,2,0,0,312.38,45
313,35,objective_captured,516.33,1,T_a02bf5e9,3,0,0,0,45
314,35,objective_captured,622.98,2,T_5568bd9d,1,0,0,283.29,45
315,35,objective_captured,733.14,2,T_5568bd9d,2,0,0,263.07,45
316,35,objective_captured,1023.35,2,T_5568bd9d,3,0,0,0,45
331,29,objective_captured,38.18,1,T_5568bd9d,2,0.01,0,0,50
332,29,objective_captured,135.84,1,T_a02bf5e9,2,81.39,0.01,0,50
