id,scrimId,event_type,match_time,round_number,previous_objective_index,current_objective_index,MapDataId
79,31,objective_updated,0,1,0,1,30
80,31,objective_updated,172.33,2,1,0,30
81,31,objective_updated,479.59,3,0,2,30
82,31,objective_updated,148.56,1,0,1,31
83,31,objective_updated,209.15,1,1,2,31
84,31,objective_updated,442.81,1,2,3,31
85,31,objective_updated,442.81,2,3,0,31
86,31,objective_updated,625.74,2,0,1,31
87,31,objective_updated,689.82,2,1,2,31
88,31,objective_updated,61.53,1,0,1,32
89,31,objective_updated,188.18,1,1,2,32
90,31,objective_updated,272.27,1,2,3,32
91,31,objective_updated,272.27,2,3,0,32
92,31,objective_updated,316.6,2,0,1,32
93,31,objective_updated,513.13,2,1,2,32
94,31,objective_updated,206.91,2,0,2,33
95,31,objective_updated,381.06,3,2,4,33
96,31,objective_updated,509.34,4,4,3,33
97,31,objective_updated,652.63,5,3,1,33
98,31,objective_updated,851.76,6,1,2,33
105,29,objective_updated,118.97,2,0,3,41
106,29,objective_updated,304.22,3,3,2,41
107,29,objective_updated,433.82,4,2,1,41
108,29,objective_updated,662.69,5,1,4,41
109,29,objective_updated,798.38,6,4,2,41
110,29,objective_updated,0,1,0,1,42
111,29,objective_updated,172.33,2,1,0,42
112,29,objective_updated,479.59,3,0,2,42
113,35,objective_updated,128.28,1,0,1,43
114,35,objective_updated,423.36,2,1,0,43
115,35,objective_updated,113.61,2,0,1,44
116,35,objective_updated,309.55,3,1,2,44
117,35,objective_updated,522.56,4,2,3,44
118,35,objective_updated,753.42,5,3,4,44
119,35,objective_updated,948.36,6,4,0,44
120,35,objective_updated,52.49,1,0,1,45
121,35,objective_updated,167.63,1,1,2,45
122,35,objective_updated,516.33,1,2,3,45
123,35,objective_updated,516.33,2,3,0,45
124,35,objective_updated,622.98,2,0,1,45
125,35,objective_updated,733.14,2,1,2,45
126,35,objective_updated,1023.35,2,2,3,45
130,29,objective_updated,0,1,0,2,50
131,29,objective_updated,215.26,2,2,0,50
132,29,objective_updated,508.84,3,0,1,50
133,36,objective_updated,0,1,0,2,51
134,36,objective_updated,298.45,2,2,0,51
135,36,objective_updated,515.37,3,0,1,51
136,36,objective_updated,470.42,2,0,1,52
137,36,objective_updated,564.15,2,1,2,52
138,36,objective_updated,208.41,2,0,1,53
139,36,objective_updated,420.91,3,1,3,53
140,36,objective_updated,568.78,4,3,2,53
141,36,objective_updated,710.89,5,2,4,53
142,36,objective_updated,945.93,6,4,2,53
143,36,objective_updated,204.04,1,0,1,54
144,36,objective_updated,412.15,1,1,2,54
145,36,objective_updated,531.24,2,2,0,54
146,36,objective_updated,746.35,2,0,1,54
147,36,objective_updated,863.5,2,1,2,54
148,36,objective_updated,1024.52,2,2,3,54
149,36,objective_updated,0,1,0,2,56
150,36,objective_updated,260.27,2,2,1,56
169,29,objective_updated,0,1,0,2,62
170,29,objective_updated,215.26,2,2,0,62
171,29,objective_updated,508.84,3,0,1,62
172,29,objective_updated,0,1,0,2,63
173,29,objective_updated,313.02,2,2,0,63
174,29,objective_updated,577.94,3,0,1,63
175,29,objective_updated,0,1,0,2,64
176,29,objective_updated,313.02,2,2,0,64
177,29,objective_updated,577.94,3,0,1,64
178,29,objective_updated,0,1,0,2,65
179,29,objective_updated,313.02,2,2,0,65
180,29,objective_updated,577.94,3,0,1,65
181,38,objective_updated,0,1,0,2,66
182,38,objective_updated,215.26,2,2,0,66
