id,scrimId,event_type,match_time,round_number,capturing_team,objective_index,payload_capture_progress,MapDataId
76,31,payload_progress,24.06,1,T_a02bf5e9,0,10.02,31
77,31,payload_progress,89.87,1,T_a02bf5e9,0,20.02,31
78,31,payload_progress,128.54,1,T_a02bf5e9,0,30.02,31
79,31,payload_progress,165.46,1,T_a02bf5e9,1,40.02,31
80,31,payload_progress,181.1,1,T_a02bf5e9,1,50.02,31
81,31,payload_progress,196.72,1,T_a02bf5e9,1,60.02,31
82,31,payload_progress,223.7,1,T_a02bf5e9,2,70.01,31
83,31,payload_progress,238.28,1,T_a02bf5e9,2,80.02,31
84,31,payload_progress,266.67,1,T_a02bf5e9,2,90.02,31
85,31,payload_progress,469.15,2,T_5568bd9d,0,10.02,31
86,31,payload_progress,484.78,2,T_5568bd9d,0,20.02,31
87,31,payload_progress,524.56,2,T_5568bd9d,0,30.02,31
88,31,payload_progress,651.36,2,T_5568bd9d,1,40.01,31
89,31,payload_progress,667,2,T_5568bd9d,1,50.01,31
90,31,payload_progress,682.61,2,T_5568bd9d,1,60.02,31
91,31,payload_progress,732.26,2,T_5568bd9d,2,70.01,31
92,31,payload_progress,746.79,2,T_5568bd9d,2,80.01,31
93,31,payload_progress,767.68,2,T_5568bd9d,2,90.02,31
94,31,payload_progress,85.32,1,T_a02bf5e9,1,10.02,32
95,31,payload_progress,119.9,1,T_a02bf5e9,1,20.02,32
96,31,payload_progress,133.08,1,T_a02bf5e9,1,30.01,32
97,31,payload_progress,146.77,1,T_a02bf5e9,1,40.02,32
98,31,payload_progress,159.73,1,T_a02bf5e9,1,50.02,32
99,31,payload_progress,185.44,1,T_a02bf5e9,1,60.02,32
100,31,payload_progress,211.87,1,T_a02bf5e9,2,70.02,32
101,31,payload_progress,235.46,1,T_a02bf5e9,2,80.02,32
102,31,payload_progress,246.03,1,T_a02bf5e9,2,90.03,32
103,31,payload_progress,337.39,2,T_5568bd9d,1,10.02,32
104,31,payload_progress,422.59,2,T_5568bd9d,1,20.02,32
