id,scrimId,event_type,match_time,round_number,capturing_team,objective_index,point_capture_progress,MapDataId
478,31,point_progress,36.4,1,T_f27c3e61,1,33.89,30
479,31,point_progress,37.87,1,T_f27c3e61,1,67.09,30
480,31,point_progress,206.62,2,T_f27c3e61,0,33.39,30
481,31,point_progress,208.35,2,T_f27c3e61,0,66.99,30
482,31,point_progress,221.86,2,T_f27c3e61,0,33.6,30
483,31,point_progress,223.2,2,T_f27c3e61,0,67.2,30
484,31,point_progress,258.49,2,T_5568bd9d,0,33.39,30
485,31,point_progress,259.84,2,T_5568bd9d,0,66.99,30
486,31,point_progress,261.85,2,T_a02bf5e9,0,0,30
487,31,point_progress,269.07,2,T_a02bf5e9,0,33.57,30
488,31,point_progress,271.13,2,T_a02bf5e9,0,66.87,30
489,31,point_progress,315.47,2,T_5568bd9d,0,33.69,30
490,31,point_progress,316.8,2,T_5568bd9d,0,66.89,30
491,31,point_progress,417.52,2,T_a02bf5e9,0,33.59,30
492,31,point_progress,419.28,2,T_a02bf5e9,0,66.79,30
493,31,point_progress,420.71,2,T_a02bf5e9,0,99.99,30
494,31,point_progress,430.26,2,T_5568bd9d,0,33.69,30
495,31,point_progress,431.59,2,T_5568bd9d,0,66.89,30
496,31,point_progress,511.23,3,T_f27c3e61,2,33.58,30
497,31,point_progress,512.56,3,T_f27c3e61,2,66.68,30
498,31,point_progress,520.97,3,T_5568bd9d,2,33.48,30
499,31,point_progress,522.97,3,T_5568bd9d,2,66.88,30
500,31,point_progress,562.45,3,T_a02bf5e9,2,33.58,30
501,31,point_progress,563.86,3,T_a02bf5e9,2,66.88,30
502,31,point_progress,660.33,3,T_5568bd9d,2,33.35,30
503,31,point_progress,661.71,3,T_5568bd9d,2,67.15,30
504,31,point_progress,663.02,3,T_5568bd9d,2,99.95,30
505,31,point_progress,683.71,3,T_a02bf5e9,2,33.57,30
506,31,point_progress,685.84,3,T_a02bf5e9,2,66.87,30
507,31,point_progress,40.27,1,T_a02bf5e9,0,33.31,32
508,31,point_progress,56.19,1,T_a02bf5e9,0,66.64,32
509,31,point_progress,61.53,1,T_a02bf5e9,1,0,32
510,31,point_progress,301.4,2,T_5568bd9d,0,33.37,32
511,31,point_progress,311.27,2,T_5568bd9d,0,66.8,32
512,31,point_progress,316.6,2,T_5568bd9d,1,0,32
513,31,point_progress,33.66,1,T_a02bf5e9,0,33.39,33
514,31,point_progress,36.16,1,T_a02bf5e9,0,66.99,33
515,31,point_progress,39.22,1,T_a02bf5e9,0,99.96,33
516,31,point_progress,82.99,1,T_a02bf5e9,0,33.39,33
517,31,point_progress,85.07,1,T_a02bf5e9,0,66.99,33
518,31,point_progress,112.51,1,T_a02bf5e9,0,33.68,33
519,31,point_progress,115.03,1,T_a02bf5e9,0,66.77,33
520,31,point_progress,174.73,1,T_a02bf5e9,0,33.34,33
521,31,point_progress,176.09,1,T_a02bf5e9,0,66.84,33
522,31,point_progress,178.46,1,T_a02bf5e9,0,99.94,33
523,31,point_progress,196.15,1,T_a02bf5e9,0,33.57,33
524,31,point_progress,200.57,1,T_a02bf5e9,0,66.76,33
525,31,point_progress,201.9,1,T_a02bf5e9,0,99.96,33
526,31,point_progress,257.95,2,T_a02bf5e9,2,33.3,33
527,31,point_progress,259.52,2,T_a02bf5e9,2,66.8,33
528,31,point_progress,269.07,2,T_a02bf5e9,2,33.49,33
529,31,point_progress,327.67,2,T_a02bf5e9,2,33.36,33
530,31,point_progress,329.78,2,T_a02bf5e9,2,66.96,33
531,31,point_progress,356.75,2,T_a02bf5e9,2,33.45,33
532,31,point_progress,358.83,2,T_a02bf5e9,2,66.65,33
533,31,point_progress,376.06,2,T_a02bf5e9,2,99.99,33
534,31,point_progress,424.19,3,T_a02bf5e9,4,33.38,33
535,31,point_progress,436.63,3,T_a02bf5e9,4,33.6,33
536,31,point_progress,437.96,3,T_a02bf5e9,4,66.8,33
537,31,point_progress,550.66,4,T_a02bf5e9,3,33.57,33
538,31,point_progress,551.98,4,T_a02bf5e9,3,66.78,33
539,31,point_progress,553.31,4,T_a02bf5e9,3,99.98,33
540,31,point_progress,628.85,4,T_a02bf5e9,3,33.67,33
541,31,point_progress,635.15,4,T_a02bf5e9,3,66.76,33
542,31,point_progress,706.38,5,T_a02bf5e9,1,33.3,33
543,31,point_progress,708.92,5,T_a02bf5e9,1,66.8,33
544,31,point_progress,739.77,5,T_a02bf5e9,1,33.54,33
545,31,point_progress,741.16,5,T_a02bf5e9,1,66.64,33
598,29,point_progress,36.4,1,T_f27c3e61,1,33.89,42
599,29,point_progress,37.87,1,T_f27c3e61,1,67.09,42
600,29,point_progress,206.62,2,T_f27c3e61,0,33.39,42
601,29,point_progress,208.35,2,T_f27c3e61,0,66.99,42
602,29,point_progress,221.86,2,T_f27c3e61,0,33.6,42
603,29,point_progress,223.2,2,T_f27c3e61,0,67.2,42
604,29,point_progress,258.49,2,T_5568bd9d,0,33.39,42
605,29,point_progress,259.84,2,T_5568bd9d,0,66.99,42
606,29,point_progress,261.85,2,T_a02bf5e9,0,0,42
607,29,point_progress,269.07,2,T_a02bf5e9,0,33.57,42
608,29,point_progress,271.13,2,T_a02bf5e9,0,66.87,42
