id,scrimId,event_type,match_time,round_number,capturing_team,team_1_score,team_2_score,objective_index,control_team_1_progress,control_team_2_progress,match_time_remaining,MapDataId
68,31,round_end,172.33,1,T_8c03018b,0,1,1,0,100,0,30
69,31,round_end,479.59,2,T_8c03018b,0,2,0,94.11,100,0,30
70,31,round_end,727.37,3,T_8c03018b,0,3,2,57.97,100,0,30
71,31,round_end,442.81,1,T_a02bf5e9,0,3,3,0,0,37.34,31
72,31,round_end,947.39,2,T_5568bd9d,2,3,2,0,0,0,31
73,31,round_end,272.27,1,T_a02bf5e9,0,3,3,0,0,207.78,32
74,31,round_end,772.82,2,T_5568bd9d,2,3,2,0,0,0,32
75,31,round_end,851.77,6,T_a02bf5e9,4,1,2,0,0,40,33
76,31,round_end,616.93,1,T_a02bf5e9,0,0,0,0,0,0,34
86,34,round_end,616.93,1,T_a02bf5e9,0,0,0,0,0,0,40
87,29,round_end,172.33,1,T_8c03018b,0,1,1,0,100,0,42
88,29,round_end,479.59,2,T_8c03018b,0,2,0,94.11,100,0,42
89,29,round_end,727.37,3,T_8c03018b,0,3,2,57.97,100,0,42
90,35,round_end,423.36,1,T_a02bf5e9,0,1,1,0,0,0,43
91,35,round_end,670.99,2,T_5568bd9d,0,3,0,0,0,0,43
92,35,round_end,948.37,6,T_a02bf5e9,3,2,0,0,0,40,44
93,35,round_end,516.33,1,T_a02bf5e9,0,3,3,0,0,0,45
94,35,round_end,1023.35,2,T_5568bd9d,3,3,3,0,0,0,45
101,29,round_end,215.26,1,T_8c03018b,1,0,2,100,32.83,0,50
102,29,round_end,508.84,2,T_8c03018b,1,1,0,99.99,100,0,50
103,29,round_end,707.48,3,T_8c03018b,2,1,1,100,29.05,0,50
104,29,round_end,707.48,3,T_8c03018b,2,1,1,100,29.05,0,50
105,36,round_end,298.45,1,T_8c03018b,1,0,2,100,99.99,0,51
106,36,round_end,515.37,2,T_8c03018b,2,0,0,100,39.04,0,51
107,36,round_end,803.86,3,T_8c03018b,3,0,1,100,78.36,0,51
108,36,round_end,240.04,1,T_a02bf5e9,0,0,0,0,0,0,52
109,36,round_end,738.92,2,T_5568bd9d,2,3,2,0,0,0,52
110,36,round_end,945.95,6,T_a02bf5e9,3,2,2,0,0,40,53
111,36,round_end,531.24,1,T_a02bf5e9,0,2,2,0,0,0,54
112,36,round_end,1024.53,2,T_5568bd9d,3,3,3,0,0,0,54
113,36,round_end,632.44,1,T_a02bf5e9,0,0,0,0,0,0,55
114,36,round_end,260.27,1,T_8c03018b,0,1,2,68.04,100,0,56
133,29,round_end,215.26,1,T_8c03018b,1,0,2,100,32.83,0,62
134,29,round_end,508.84,2,T_8c03018b,1,1,0,99.99,100,0,62
135,29,round_end,707.48,3,T_8c03018b,2,1,1,100,29.05,0,62
136,29,round_end,707.48,3,T_8c03018b,2,1,1,100,29.05,0,62
137,29,round_end,313.02,1,T_8c03018b,1,0,2,100,99.99,0,63
138,29,round_end,577.94,2,T_8c03018b,2,0,0,100,69.71,0,63
139,29,round_end,813.14,3,T_8c03018b,3,0,1,100,46.08,0,63
140,29,round_end,313.02,1,T_8c03018b,1,0,2,100,99.99,0,64
141,29,round_end,577.94,2,T_8c03018b,2,0,0,100,69.71,0,64
142,29,round_end,813.14,3,T_8c03018b,3,0,1,100,46.08,0,64
143,29,round_end,313.02,1,T_8c03018b,1,0,2,100,99.99,0,65
