id,createdAt,updatedAt,date
31,2024-01-28 17:14:15.582,2024-01-28 17:14:15.583,2024-01-22 05:00:00
34,2024-01-28 19:29:18.318,2024-02-29 03:50:31.711,2024-01-02 05:00:00
35,2024-01-28 22:34:46.327,2024-01-28 22:34:46.328,2024-01-08 05:00:00
36,2024-02-01 16:38:57.562,2024-02-01 16:38:57.563,2024-01-31 05:00:00
38,2024-02-02 18:43:29.657,2024-02-02 18:43:29.658,2024-02-01 05:00:00
39,2024-02-02 18:48:17.072,2024-02-02 18:48:17.073,2024-01-09 05:00:00
40,2024-02-02 20:02:41.61,2024-02-02 20:02:41.61,2024-02-01 05:00:00
43,2024-02-06 02:32:58.156,2024-02-06 02:32:58.158,2024-02-02 05:00:00
45,2024-02-06 03:16:29.057,2024-03-15 02:58:55.218,2024-02-05 05:00:00
47,2024-02-07 01:53:16.776,2024-02-07 01:53:16.777,2024-01-24 05:00:00
53,2024-02-08 21:05:43.039,2024-02-08 21:05:43.04,2024-02-01 05:00:00
57,2024-02-09 04:35:24.013,2024-02-09 04:35:24.014,2024-01-10 05:00:00
58,2024-02-09 04:41:20.86,2024-02-09 04:41:20.861,2024-01-11 05:00:00
59,2024-02-09 04:44:27.459,2024-02-13 03:22:34.652,2024-01-15 05:00:00
60,2024-02-09 04:45:30.503,2024-02-09 04:45:30.504,2024-01-18 05:00:00
61,2024-02-09 04:47:55.706,2024-02-09 04:47:55.707,2024-01-29 05:00:00
62,2024-02-09 19:48:21.421,2024-02-23 00:51:13.498,2023-12-18 05:00:00
64,2024-02-10 03:11:21.729,2024-02-10 03:11:21.73,2024-02-09 05:00:00
67,2024-02-14 02:32:12.291,2024-02-14 05:48:22.828,2024-02-08 05:00:00
69,2024-02-16 03:12:13.602,2024-02-16 03:12:13.603,2024-02-15 05:00:00
70,2024-02-16 04:25:56.131,2024-02-16 04:25:56.132,2024-02-15 05:00:00
71,2024-02-16 04:35:33.54,2024-02-16 04:35:33.541,2024-02-15 05:00:00
72,2024-02-16 05:04:23.419,2024-02-16 05:04:23.42,2024-02-15 05:00:00
74,2024-02-17 04:53:25.735,2024-03-13 16:02:02.692,2024-02-16 05:00:00
75,2024-02-19 01:48:59.353,2024-02-19 01:48:59.354,2024-02-18 05:00:00
80,2024-02-20 03:12:33.525,2024-02-20 03:12:33.526,2024-02-19 05:00:00
85,2024-02-22 03:13:00.981,2024-02-22 03:13:00.982,2024-02-21 05:00:00
87,2024-02-23 01:32:24.185,2024-02-23 01:32:24.186,2024-02-22 05:00:00
91,2024-02-24 03:33:19.644,2024-02-24 03:34:20.426,2024-02-23 05:00:00
92,2024-02-24 03:33:59.061,2024-02-24 03:33:59.062,2024-02-23 05:00:00
93,2024-02-24 03:39:11.624,2024-02-24 03:39:11.625,2024-02-23 05:00:00
94,2024-02-26 01:28:01.277,2024-02-26 01:28:01.278,2024-02-25 05:00:00
96,2024-02-27 03:24:46.734,2024-02-27 03:24:46.735,2024-02-26 05:00:00
97,2024-02-27 03:38:07.961,2024-03-13 16:03:37.83,2024-02-26 05:00:00
99,2024-02-27 05:28:57.701,2024-02-27 05:28:57.702,2024-02-26 13:00:00
100,2024-02-28 00:40:00.922,2024-02-28 00:40:00.923,2024-02-17 05:00:00
104,2024-02-28 00:46:51.153,2024-02-28 00:46:51.154,2024-02-19 05:00:00
105,2024-02-28 00:50:31.844,2024-02-28 00:50:31.845,2024-02-20 05:00:00
107,2024-02-29 02:25:37.324,2024-02-29 02:25:37.325,2024-02-28 05:00:00
108,2024-02-29 03:07:26.736,2024-02-29 03:07:26.737,2024-02-28 05:00:00
109,2024-02-29 04:04:27.699,2024-02-29 04:04:27.7,2024-02-28 05:00:00
111,2024-02-29 04:11:44.966,2024-02-29 04:11:44.967,2024-02-28 05:00:00
112,2024-03-01 02:09:05.026,2024-03-01 02:09:05.027,2024-02-29 05:00:00
113,2024-03-02 04:53:59.728,2024-03-02 04:53:59.729,2024-03-01 05:00:00
114,2024-03-05 03:08:21.725,2024-03-05 03:08:21.726,2024-03-04 05:00:00
115,2024-03-07 01:59:47.336,2024-03-07 01:59:47.337,2024-03-06 05:00:00
116,2024-03-07 03:27:17.945,2024-03-07 03:27:17.946,2024-03-06 05:00:00
117,2024-03-08 02:13:10.693,2024-03-08 02:13:10.695,2024-03-07 05:00:00
125,2024-03-11 14:19:32.122,2024-03-11 14:19:32.123,2024-03-10 05:00:00
127,2024-03-12 01:14:45.776,2024-03-12 22:36:48.831,2024-03-11 04:00:00
128,2024-03-12 02:11:32.975,2024-03-12 02:11:32.976,2024-03-11 04:00:00
129,2024-03-15 01:28:43.502,2024-03-15 01:28:43.503,2024-03-14 04:00:00
131,2024-03-16 02:06:54.56,2024-03-16 02:06:54.561,2024-03-15 04:00:00
132,2024-03-17 05:01:30.228,2024-03-17 05:01:30.229,2024-03-16 04:00:00
133,2024-03-17 21:26:09.444,2024-03-17 21:26:09.445,2024-03-08 06:00:00
134,2024-03-19 02:36:18.164,2024-03-19 02:36:18.165,2024-03-18 04:00:00
135,2024-03-19 23:03:16.797,2024-03-19 23:03:16.798,2024-03-18 04:00:00
137,2024-03-20 00:42:09.802,2024-04-03 03:16:57.455,2024-03-19 04:00:00
139,2024-03-21 04:22:26.145,2024-03-21 04:59:47.163,2024-03-20 05:00:00
141,2024-03-22 02:14:36.541,2024-03-22 02:14:36.542,2024-03-21 04:00:00
145,2024-03-23 03:15:11.929,2024-03-23 03:15:11.93,2024-03-22 04:00:00
146,2024-03-23 19:08:52.721,2024-03-23 19:08:52.722,2024-03-22 04:00:00
153,2024-03-26 02:08:33.209,2024-03-26 02:08:33.21,2024-03-25 04:00:00
155,2024-03-26 02:42:21.636,2024-03-26 02:42:21.637,2024-03-25 04:00:00
156,2024-03-27 02:06:44.472,2024-03-27 02:06:44.474,2024-03-26 04:00:00
157,2024-03-28 02:25:37.464,2024-03-28 02:25:37.465,2024-03-27 04:00:00
158,2024-03-29 03:04:41.71,2024-03-29 03:04:41.711,2024-03-28 04:00:00
159,2024-03-30 02:05:31.299,2024-03-30 02:42:44.705,2024-03-29 04:00:00
160,2024-04-02 00:48:48.955,2024-04-04 06:35:35.705,2024-04-01 04:00:00
163,2024-04-03 00:14:51.611,2024-04-03 00:14:51.611,2024-04-01 04:00:00
164,2024-04-03 01:58:25.825,2024-04-03 01:58:25.826,2024-04-02 04:00:00
171,2024-04-03 04:02:00.817,2024-04-03 04:02:00.819,2024-04-02 04:00:00
172,2024-04-04 05:30:20.772,2024-04-04 06:30:18.056,2024-04-03 04:00:00
