id,scrimId,event_type,match_time,round_number,match_time_remaining,MapDataId
65,31,setup_complete,0,1,29.99,30
66,31,setup_complete,172.33,2,29.99,30
67,31,setup_complete,479.59,3,29.99,30
68,31,setup_complete,0,1,239.99,31
69,31,setup_complete,442.81,2,239.99,31
70,31,setup_complete,0,1,239.99,32
71,31,setup_complete,272.27,2,239.99,32
72,31,setup_complete,0,1,29.99,33
73,31,setup_complete,0,1,599.99,34
81,34,setup_complete,0,1,599.99,40
82,29,setup_complete,0,1,29.99,42
83,29,setup_complete,172.33,2,29.99,42
84,29,setup_complete,479.59,3,29.99,42
85,35,setup_complete,0,1,239.99,43
86,35,setup_complete,423.36,2,239.99,43
87,35,setup_complete,0,1,29.99,44
88,35,setup_complete,0,1,239.99,45
89,35,setup_complete,516.33,2,239.99,45
95,29,setup_complete,0,1,29.99,50
96,29,setup_complete,215.26,2,29.99,50
97,29,setup_complete,508.84,3,29.99,50
98,36,setup_complete,0,1,29.99,51
99,36,setup_complete,298.45,2,29.99,51
100,36,setup_complete,515.37,3,29.99,51
101,36,setup_complete,0,1,239.99,52
102,36,setup_complete,240.04,2,239.99,52
103,36,setup_complete,0,1,29.99,53
104,36,setup_complete,0,1,239.99,54
105,36,setup_complete,531.24,2,239.99,54
106,36,setup_complete,0,1,599.99,55
107,36,setup_complete,0,1,29.99,56
108,36,setup_complete,260.27,2,29.99,56
123,29,setup_complete,0,1,29.99,62
124,29,setup_complete,215.26,2,29.99,62
125,29,setup_complete,508.84,3,29.99,62
126,29,setup_complete,0,1,29.99,63
127,29,setup_complete,313.02,2,29.99,63
128,29,setup_complete,577.94,3,29.99,63
129,29,setup_complete,0,1,29.99,64
130,29,setup_complete,313.02,2,29.99,64
131,29,setup_complete,577.94,3,29.99,64
132,29,setup_complete,0,1,29.99,65
133,29,setup_complete,313.02,2,29.99,65
134,29,setup_complete,577.94,3,29.99,65
135,38,setup_complete,0,1,29.99,66
136,38,setup_complete,215.26,2,29.99,66
137,38,setup_complete,508.84,3,29.99,66
148,40,setup_complete,0,1,599.98,72
149,40,setup_complete,0,1,29.99,73
150,40,setup_complete,169.63,2,29.99,73
151,40,setup_complete,396.68,3,29.99,73
152,40,setup_complete,0,1,599.98,74
160,29,setup_complete,0,1,239.99,82
161,29,setup_complete,513.59,2,239.99,82
162,43,setup_complete,0,1,29.99,83
163,43,setup_complete,260.88,2,29.99,83
164,43,setup_complete,563.95,3,29.99,83
165,43,setup_complete,0,1,239.99,84
166,43,setup_complete,504.88,2,239.99,84
188,45,setup_complete,0,1,29.99,97
189,45,setup_complete,229.23,2,29.99,97
190,45,setup_complete,548,3,29.99,97
191,45,setup_complete,0,1,239.99,98
192,45,setup_complete,240.04,2,239.99,98
193,45,setup_complete,0,1,29.99,99
194,45,setup_complete,0,1,239.99,100
195,45,setup_complete,396.27,2,239.99,100
207,47,setup_complete,0,1,29.99,108
208,29,setup_complete,0,1,29.99,109
