[00:00:00] ;map;King's Row;;0
[00:00:00] ;player_team;Catalyst;Team 2;0
[00:00:00] ;player_team;SolidGhost;Team 2;0
[00:00:00] ;player_team;Midreadias;Team 1;0
[00:00:00] ;player_team;BiggieZ;Team 2;0
[00:00:00] ;player_team;jhan;Team 2;0
[00:00:00] ;player_team;Electric;Team 1;0
[00:00:00] ;player_team;MortalWombat;Team 1;0
[00:00:01] ;player_team;seniorcheese;Team 2;0
[00:00:01] ;player_team;teejusb;Team 1;0
[00:00:01] ;player_team;hypnobeam;Team 2;0
[00:00:01] ;player_team;ModWilliam;Team 1;0
[00:00:01] ;player_team;JohnnyB;Team 1;0
[00:01:39] ;player_status;JohnnyB;Moira;(-12.62, -0.11, -29.23)
[00:01:39] ;player_health;JohnnyB;200;200
[00:01:39] ;player_ult;JohnnyB;0;0
[00:01:39] ;player_status;ModWilliam;Mei;(-25.57, 0.06, -22.94)
[00:01:39] ;player_health;ModWilliam;250;250
[00:01:39] ;player_ult;ModWilliam;0;0
[00:01:39] ;player_status;hypnobeam;Reinhardt;(-3.90, 1.15, 21.14)
[00:01:39] ;player_health;hypnobeam;550;550
[00:01:39] ;player_ult;hypnobeam;0;0
[00:01:39] ;player_status;teejusb;Symmetra;(-23.16, -0.12, -28.73)
[00:01:39] ;player_health;teejusb;225;225
[00:01:39] ;player_ult;teejusb;0;0
[00:01:39] ;used_ability_2;teejusb;Symmetra;<Icon>
[00:01:39] ;player_status;seniorcheese;Zarya;(-4.22, 1.15, 23.46)
[00:01:39] ;player_health;seniorcheese;400;400
[00:01:39] ;player_ult;seniorcheese;0;0
[00:01:39] ;player_status;jhan;Mei;(-6.23, 1.53, 28.16)
[00:01:39] ;player_health;jhan;250;250
[00:01:39] ;player_ult;jhan;0;0
[00:01:39] ;player_status;Electric;Lúcio;(-13.75, -0.11, -31.44)
[00:01:39] ;player_health;Electric;200;200
[00:01:39] ;player_ult;Electric;0;0
[00:01:39] ;used_ability_1;Electric;Lúcio;<Icon>
[00:01:39] ;player_status;MortalWombat;Reinhardt;(-25.67, -0.13, -26.26)
[00:01:39] ;player_health;MortalWombat;550;550
[00:01:39] ;player_ult;MortalWombat;0;0
[00:01:39] ;player_status;BiggieZ;Symmetra;(-7.00, 1.15, 25.90)
[00:01:39] ;player_health;BiggieZ;225;225
[00:01:39] ;player_ult;BiggieZ;0;0
[00:01:39] ;player_status;Catalyst;Baptiste;(-7.24, 1.76, 27.09)
[00:01:39] ;player_health;Catalyst;200;200
[00:01:39] ;player_ult;Catalyst;0;0
[00:01:39] ;player_status;SolidGhost;Lúcio;(-4.75, 3.02, 21.12)
[00:01:39] ;player_health;SolidGhost;200;200
[00:01:39] ;player_ult;SolidGhost;0;0
[00:01:39] ;used_ability_1;SolidGhost;Lúcio;<Icon>
[00:01:39] ;player_status;Midreadias;Zarya;(-33.72, 9.09, -14.86)
[00:01:39] ;player_health;Midreadias;400;400
[00:01:39] ;player_ult;Midreadias;0;0
[00:01:40] ;player_status;JohnnyB;Moira;(-19.14, 0.75, -28.37)
[00:01:40] ;player_health;JohnnyB;200;200
[00:01:40] ;player_ult;JohnnyB;0;0
[00:01:40] ;player_status;ModWilliam;Mei;(-27.02, -0.12, -26.91)
[00:01:40] ;player_health;ModWilliam;250;250
[00:01:40] ;player_ult;ModWilliam;0;0
[00:01:40] ;player_status;hypnobeam;Reinhardt;(-3.74, 0.79, 19.01)
[00:01:40] ;player_health;hypnobeam;550;550
[00:01:40] ;player_ult;hypnobeam;0;0
[00:01:40] ;player_status;teejusb;Symmetra;(-16.48, -0.11, -29.92)
[00:01:40] ;player_health;teejusb;225;225
[00:01:40] ;player_ult;teejusb;0;0
[00:01:40] ;player_status;seniorcheese;Zarya;(-3.69, 1.15, 20.33)
[00:01:40] ;player_health;seniorcheese;400;400
[00:01:40] ;player_ult;seniorcheese;0;0
[00:01:40] ;player_status;jhan;Mei;(-6.30, 1.15, 22.92)
[00:01:40] ;player_health;jhan;250;250
[00:01:40] ;player_ult;jhan;0;0
[00:01:40] ;player_status;Electric;Lúcio;(-16.43, -0.11, -31.31)
[00:01:40] ;player_health;Electric;200;200
[00:01:40] ;player_ult;Electric;0;0
