[00:00:00] ;map;Volskaya Industries;;0
[00:00:00] ;player_team;hypnobeam;Team 2;0
[00:00:00] ;player_team;MortalWombat;Team 1;0
[00:00:00] ;player_team;JohnnyB;Team 1;0
[00:00:00] ;player_team;teejusb;Team 1;0
[00:00:00] ;player_team;Catalyst;Team 2;0
[00:00:00] ;player_team;Electric;Team 1;0
[00:00:00] ;player_team;seniorcheese;Team 2;0
[00:00:00] ;player_team;Midreadias;Team 1;0
[00:00:01] ;player_team;burninate;Team 1;0
[00:00:01] ;player_team;Yomi;Team 2;0
[00:00:01] ;player_team;jhan;Team 2;0
[00:00:01] ;player_team;BiggieZ;Team 2;0
[00:03:13] ;player_status;BiggieZ;Sombra;(3.65, -4.98, 9.60)
[00:03:13] ;player_health;BiggieZ;200;200
[00:03:13] ;player_ult;BiggieZ;0;0
[00:03:13] ;used_ability_1;BiggieZ;Sombra;<Icon>
[00:03:13] ;player_status;Yomi;Lúcio;(10.76, -4.98, 14.38)
[00:03:13] ;player_health;Yomi;200;200
[00:03:13] ;player_ult;Yomi;0;0
[00:03:13] ;player_status;jhan;Tracer;(6.85, -4.98, 12.21)
[00:03:13] ;player_health;jhan;150;150
[00:03:13] ;player_ult;jhan;0;0
[00:03:13] ;player_status;burninate;Tracer;(-30.94, -1.98, 54.38)
[00:03:13] ;player_health;burninate;150;150
[00:03:13] ;player_ult;burninate;0;0
[00:03:13] ;player_status;Electric;Zenyatta;(4.43, 1.92, 91.69)
[00:03:13] ;player_health;Electric;200;200
[00:03:13] ;player_ult;Electric;0;0
[00:03:13] ;used_ability_1;Electric;Zenyatta;<Icon>
[00:03:13] ;player_status;seniorcheese;D.Va;(3.32, -4.81, 6.16)
[00:03:13] ;player_health;seniorcheese;600;600
[00:03:13] ;player_ult;seniorcheese;0;0
[00:03:13] ;player_status;Midreadias;Zarya;(-9.18, 1.27, 79.04)
[00:03:13] ;player_health;Midreadias;400;400
[00:03:13] ;player_ult;Midreadias;0;0
[00:03:13] ;player_status;Catalyst;Ana;(7.93, -4.98, 11.90)
[00:03:13] ;player_health;Catalyst;200;200
[00:03:13] ;player_ult;Catalyst;0;0
[00:03:13] ;player_status;teejusb;Ashe;(0.08, 1.92, 93.50)
[00:03:13] ;player_health;teejusb;200;200
[00:03:13] ;player_ult;teejusb;0;0
[00:03:13] ;player_status;JohnnyB;Ana;(-25.83, 2.02, 105.83)
[00:03:13] ;player_health;JohnnyB;200;200
[00:03:13] ;player_ult;JohnnyB;0;0
[00:03:13] ;player_status;MortalWombat;Winston;(10.35, -1.97, 67.68)
[00:03:13] ;player_health;MortalWombat;500;500
[00:03:13] ;player_ult;MortalWombat;0;0
[00:03:13] ;player_status;hypnobeam;Winston;(3.28, -4.98, 10.90)
[00:03:13] ;player_health;hypnobeam;500;500
[00:03:13] ;player_ult;hypnobeam;0;0
[00:03:14] ;used_ability_1;seniorcheese;D.Va;<Icon>
[00:03:14] ;player_status;BiggieZ;Sombra;(-1.15, -4.06, 13.42)
[00:03:14] ;player_health;BiggieZ;200;200
[00:03:14] ;player_ult;BiggieZ;0;0
[00:03:14] ;player_status;Yomi;Lúcio;(6.63, -4.98, 13.85)
[00:03:14] ;player_health;Yomi;200;200
[00:03:14] ;player_ult;Yomi;0;0
[00:03:14] ;player_status;jhan;Tracer;(8.74, -4.98, 13.29)
[00:03:14] ;player_health;jhan;150;150
[00:03:14] ;player_ult;jhan;0;0
[00:03:14] ;player_status;burninate;Tracer;(-28.17, -1.28, 53.43)
[00:03:14] ;player_health;burninate;150;150
[00:03:14] ;player_ult;burninate;0;0
[00:03:14] ;player_status;Electric;Zenyatta;(4.22, 1.92, 87.30)
[00:03:14] ;player_health;Electric;200;200
[00:03:14] ;player_ult;Electric;0;0
[00:03:14] ;player_status;seniorcheese;D.Va;(0.29, -2.09, 13.67)
[00:03:14] ;player_health;seniorcheese;600;600
[00:03:14] ;player_ult;seniorcheese;0;0
[00:03:14] ;player_status;Midreadias;Zarya;(-9.71, 1.27, 78.96)
[00:03:14] ;player_health;Midreadias;400;400
[00:03:14] ;player_ult;Midreadias;0;0
[00:03:14] ;player_status;Catalyst;Ana;(4.43, -4.98, 12.63)
[00:03:14] ;player_health;Catalyst;200;200
[00:03:14] ;player_ult;Catalyst;0;0
[00:03:14] ;player_status;teejusb;Ashe;(1.80, 1.92, 93.20)
[00:03:14] ;player_health;teejusb;200;200
[00:03:14] ;player_ult;teejusb;0;0
[00:03:14] ;player_status;JohnnyB;Ana;(-25.83, 2.02, 105.83)
[00:03:14] ;player_health;JohnnyB;200;200
[00:03:14] ;player_ult;JohnnyB;0;0
[00:03:14] ;player_status;MortalWombat;Winston;(10.35, -1.97, 67.68)
[00:03:14] ;player_health;MortalWombat;500;500
[00:03:14] ;player_ult;MortalWombat;0;0
[00:03:14] ;player_status;hypnobeam;Winston;(1.36, -4.98, 12.93)
[00:03:14] ;player_health;hypnobeam;500;500
[00:03:14] ;player_ult;hypnobeam;0;0
[00:03:15] ;used_ability_1;Yomi;Lúcio;<Icon>
[00:03:15] ;player_status;BiggieZ;Sombra;(-5.63, -5.86, 20.30)
[00:03:15] ;player_health;BiggieZ;200;200
[00:03:15] ;player_ult;BiggieZ;0;0
[00:03:15] ;player_status;Yomi;Lúcio;(3.48, -4.98, 13.01)
[00:03:15] ;player_health;Yomi;200;200
[00:03:15] ;player_ult;Yomi;0;0
[00:03:15] ;player_status;jhan;Tracer;(4.53, -4.98, 11.46)
[00:03:15] ;player_health;jhan;150;150
[00:03:15] ;player_ult;jhan;0;0
[00:03:15] ;player_status;burninate;Tracer;(-28.15, -1.98, 53.61)
[00:03:15] ;player_health;burninate;150;150
[00:03:15] ;player_ult;burninate;0;0
[00:03:15] ;player_status;Electric;Zenyatta;(0.51, 1.92, 90.92)
[00:03:15] ;player_health;Electric;200;200
[00:03:15] ;player_ult;Electric;0;0
[00:03:15] ;player_status;seniorcheese;D.Va;(-2.35, 3.47, 24.05)
[00:03:15] ;player_health;seniorcheese;600;600
[00:03:15] ;player_ult;seniorcheese;0;0
[00:03:15] ;player_status;Midreadias;Zarya;(-10.46, 1.27, 77.97)
[00:03:15] ;player_health;Midreadias;400;400
[00:03:15] ;player_ult;Midreadias;0;0
[00:03:15] ;player_status;Catalyst;Ana;(5.13, -4.98, 12.74)
[00:03:15] ;player_health;Catalyst;200;200
[00:03:15] ;player_ult;Catalyst;0;0
[00:03:15] ;player_status;teejusb;Ashe;(1.22, 1.92, 92.05)
[00:03:15] ;player_health;teejusb;200;200
[00:03:15] ;player_ult;teejusb;0;0
[00:03:15] ;player_status;JohnnyB;Ana;(-25.83, 2.02, 105.83)
[00:03:15] ;player_health;JohnnyB;200;200
[00:03:15] ;player_ult;JohnnyB;0;0
[00:03:15] ;player_status;MortalWombat;Winston;(8.45, -2.96, 66.67)
[00:03:15] ;player_health;MortalWombat;500;500
[00:03:15] ;player_ult;MortalWombat;0;0
[00:03:15] ;player_status;hypnobeam;Winston;(-2.30, -4.89, 16.58)
[00:03:15] ;player_health;hypnobeam;500;500
[00:03:15] ;player_ult;hypnobeam;0;0
[00:03:16] ;player_status;BiggieZ;Sombra;(-9.93, -4.45, 27.28)
[00:03:16] ;player_health;BiggieZ;200;200
[00:03:16] ;player_ult;BiggieZ;1;0
[00:03:16] ;player_status;Yomi;Lúcio;(0.91, -5.19, 14.83)
[00:03:16] ;player_health;Yomi;200;200
[00:03:16] ;player_ult;Yomi;0;0
[00:03:16] ;player_status;jhan;Tracer;(0.13, -4.98, 12.85)
[00:03:16] ;player_health;jhan;150;150
[00:03:16] ;player_ult;jhan;1;0
[00:03:16] ;player_status;burninate;Tracer;(-28.20, -1.14, 53.63)
[00:03:16] ;player_health;burninate;150;150
[00:03:16] ;player_ult;burninate;1;0
[00:03:16] ;player_status;Electric;Zenyatta;(3.46, 1.92, 93.69)
[00:03:16] ;player_health;Electric;200;200
[00:03:16] ;player_ult;Electric;0;0
[00:03:16] ;player_status;seniorcheese;D.Va;(-3.67, 5.28, 33.83)
[00:03:16] ;player_health;seniorcheese;600;600
[00:03:16] ;player_ult;seniorcheese;0;0
[00:03:16] ;player_status;Midreadias;Zarya;(-11.01, 1.27, 77.82)
[00:03:16] ;player_health;Midreadias;400;400
[00:03:16] ;player_ult;Midreadias;0;0
[00:03:16] ;player_status;Catalyst;Ana;(0.37, -5.20, 14.27)
[00:03:16] ;player_health;Catalyst;200;200
[00:03:16] ;player_ult;Catalyst;0;0
[00:03:16] ;player_status;teejusb;Ashe;(1.45, 1.92, 92.78)
[00:03:16] ;player_health;teejusb;200;200
[00:03:16] ;player_ult;teejusb;0;0
[00:03:16] ;player_status;JohnnyB;Ana;(-26.38, 2.02, 101.84)
[00:03:16] ;player_health;JohnnyB;200;200
[00:03:16] ;player_ult;JohnnyB;0;0
[00:03:16] ;player_status;MortalWombat;Winston;(9.46, -2.75, 67.27)
[00:03:16] ;player_health;MortalWombat;500;500
[00:03:16] ;player_ult;MortalWombat;0;0
[00:03:16] ;player_status;hypnobeam;Winston;(-6.11, -5.71, 20.44)
[00:03:16] ;player_health;hypnobeam;500;500
[00:03:16] ;player_ult;hypnobeam;0;0
[00:03:17] ;used_ability_1;jhan;Tracer;<Icon>
[00:03:17] ;used_ability_2;BiggieZ;Sombra;<Icon>
[00:03:17] ;player_status;BiggieZ;Sombra;(-13.75, -4.23, 34.52)
[00:03:17] ;player_health;BiggieZ;200;200
[00:03:17] ;player_ult;BiggieZ;1;0
[00:03:17] ;player_status;Yomi;Lúcio;(-3.77, -5.79, 18.37)
[00:03:17] ;player_health;Yomi;200;200
[00:03:17] ;player_ult;Yomi;0;0
[00:03:17] ;player_status;jhan;Tracer;(-9.15, -4.68, 22.10)
[00:03:17] ;player_health;jhan;150;150
[00:03:17] ;player_ult;jhan;1;0
[00:03:17] ;player_status;burninate;Tracer;(-28.28, -1.27, 53.71)
[00:03:17] ;player_health;burninate;150;150
[00:03:17] ;player_ult;burninate;1;0
[00:03:17] ;player_status;Electric;Zenyatta;(3.16, 1.92, 91.66)
[00:03:17] ;player_health;Electric;200;200
[00:03:17] ;player_ult;Electric;0;0
[00:03:17] ;player_status;seniorcheese;D.Va;(-4.22, 5.21, 39.25)
[00:03:17] ;player_health;seniorcheese;600;600
[00:03:17] ;player_ult;seniorcheese;1;0
[00:03:17] ;player_status;Midreadias;Zarya;(-10.63, 1.27, 77.22)
[00:03:17] ;player_health;Midreadias;400;400
[00:03:17] ;player_ult;Midreadias;0;0
[00:03:17] ;player_status;Catalyst;Ana;(-2.68, -5.94, 19.12)
[00:03:17] ;player_health;Catalyst;200;200
[00:03:17] ;player_ult;Catalyst;0;0
[00:03:17] ;player_status;teejusb;Ashe;(1.37, 1.92, 92.43)
[00:03:17] ;player_health;teejusb;200;200
[00:03:17] ;player_ult;teejusb;0;0
[00:03:17] ;player_status;JohnnyB;Ana;(-27.04, 2.02, 103.05)
[00:03:17] ;player_health;JohnnyB;200;200
[00:03:17] ;player_ult;JohnnyB;0;0
[00:03:17] ;player_status;MortalWombat;Winston;(9.46, -2.75, 67.27)
[00:03:17] ;player_health;MortalWombat;500;500
[00:03:17] ;player_ult;MortalWombat;1;0
[00:03:17] ;player_status;hypnobeam;Winston;(-10.06, -5.31, 24.30)
[00:03:17] ;player_health;hypnobeam;500;500
[00:03:17] ;player_ult;hypnobeam;1;0
[00:03:17] ;used_ability_1;Yomi;Lúcio;<Icon>
[00:03:18] ;player_status;BiggieZ;Sombra;(-20.28, -4.07, 38.89)
[00:03:18] ;player_health;BiggieZ;200;200
