[00:00:00] ;map;Havana;;0
[00:00:00] ;player_team;burninate;Team 1;0
[00:00:00] ;player_team;Midreadias;Team 1;0
[00:00:00] ;player_team;Catalyst;Team 2;0
[00:00:00] ;player_team;seniorcheese;Team 2;0
[00:00:00] ;player_team;hypnobeam;Team 2;0
[00:00:00] ;player_team;MortalWombat;Team 1;0
[00:00:01] ;player_team;Electric;Team 1;0
[00:00:01] ;player_team;jhan;Team 2;0
[00:00:01] ;player_team;teejusb;Team 1;0
[00:00:01] ;player_team;Yomi;Team 2;0
[00:00:01] ;player_team;BiggieZ;Team 2;0
[00:00:01] ;player_team;JohnnyB;Team 1;0
[00:03:32] ;player_status;JohnnyB;Mercy;(-75.72, 11.60, -71.59)
[00:03:32] ;player_health;JohnnyB;200;200
[00:03:32] ;player_ult;JohnnyB;0;0
[00:03:32] ;used_ability_1;JohnnyB;Mercy;<Icon>
[00:03:32] ;player_status;BiggieZ;Bastion;(-94.89, 4.00, -65.39)
[00:03:32] ;player_health;BiggieZ;300;300
[00:03:32] ;player_ult;BiggieZ;0;0
[00:03:32] ;player_status;Yomi;Lúcio;(-92.66, 4.00, -61.80)
[00:03:32] ;player_health;Yomi;200;200
[00:03:32] ;player_ult;Yomi;0;0
[00:03:32] ;used_ability_1;Yomi;Lúcio;<Icon>
[00:03:32] ;player_status;teejusb;Pharah;(-73.44, 25.54, -66.74)
[00:03:32] ;player_health;teejusb;148;200
[00:03:32] ;player_ult;teejusb;0;0
[00:03:32] ;player_status;Electric;Baptiste;(-54.36, 4.23, -51.96)
[00:03:32] ;player_health;Electric;200;200
[00:03:32] ;player_ult;Electric;0;0
[00:03:32] ;player_status;jhan;Mei;(-92.29, 4.00, -61.14)
[00:03:32] ;player_health;jhan;250;250
[00:03:32] ;player_ult;jhan;0;0
[00:03:32] ;player_status;hypnobeam;Reinhardt;(-93.52, 4.13, -62.77)
[00:03:32] ;player_health;hypnobeam;550;550
[00:03:32] ;player_ult;hypnobeam;0;0
[00:03:32] ;player_status;MortalWombat;Wrecking Ball;(-79.09, 8.22, -53.54)
[00:03:32] ;player_health;MortalWombat;600;600
[00:03:32] ;player_ult;MortalWombat;0;0
[00:03:32] ;used_ability_1;MortalWombat;Wrecking Ball;<Icon>
[00:03:32] ;player_status;Catalyst;Ana;(-95.71, 4.00, -62.96)
[00:03:32] ;player_health;Catalyst;200;200
[00:03:32] ;player_ult;Catalyst;0;0
[00:03:32] ;player_status;seniorcheese;Zarya;(-92.84, 4.00, -60.81)
[00:03:32] ;player_health;seniorcheese;400;400
[00:03:32] ;player_ult;seniorcheese;0;0
[00:03:32] ;player_status;Midreadias;Sigma;(-58.97, 5.99, -55.76)
[00:03:32] ;player_health;Midreadias;400;400
[00:03:32] ;player_ult;Midreadias;0;0
[00:03:32] ;player_status;burninate;Ashe;(-46.58, 6.00, -57.98)
[00:03:32] ;player_health;burninate;200;200
[00:03:32] ;player_ult;burninate;0;0
[00:03:33] ;did_healing;JohnnyB;11.44;teejusb
[00:03:33] ;did_healing;JohnnyB;10.56;teejusb
[00:03:33] ;did_healing;JohnnyB;10.56;teejusb
[00:03:33] ;player_status;JohnnyB;Mercy;(-76.57, 26.35, -68.13)
[00:03:33] ;player_health;JohnnyB;200;200
[00:03:33] ;player_ult;JohnnyB;0;0
[00:03:33] ;player_status;BiggieZ;Bastion;(-95.17, 4.00, -64.14)
[00:03:33] ;player_health;BiggieZ;300;300
[00:03:33] ;player_ult;BiggieZ;0;0
[00:03:33] ;player_status;Yomi;Lúcio;(-93.04, 4.00, -60.07)
[00:03:33] ;player_health;Yomi;200;200
[00:03:33] ;player_ult;Yomi;0;0
[00:03:33] ;player_status;teejusb;Pharah;(-77.52, 18.70, -64.30)
[00:03:33] ;player_health;teejusb;180.56;200
[00:03:33] ;player_ult;teejusb;0;0
[00:03:33] ;player_status;Electric;Baptiste;(-57.68, 3.85, -48.14)
[00:03:33] ;player_health;Electric;200;200
[00:03:33] ;player_ult;Electric;0;0
[00:03:33] ;player_status;jhan;Mei;(-92.94, 4.00, -59.65)
[00:03:33] ;player_health;jhan;250;250
[00:03:33] ;player_ult;jhan;0;0
[00:03:33] ;player_status;hypnobeam;Reinhardt;(-96.97, 4.00, -57.04)
[00:03:33] ;player_health;hypnobeam;550;550
[00:03:33] ;player_ult;hypnobeam;0;0
[00:03:33] ;player_status;MortalWombat;Wrecking Ball;(-79.09, 8.22, -53.54)
[00:03:33] ;player_health;MortalWombat;600;600
[00:03:33] ;player_ult;MortalWombat;0;0
[00:03:33] ;player_status;Catalyst;Ana;(-91.95, 4.00, -62.80)
[00:03:33] ;player_health;Catalyst;200;200
[00:03:33] ;player_ult;Catalyst;0;0
[00:03:33] ;player_status;seniorcheese;Zarya;(-93.83, 4.00, -58.03)
[00:03:33] ;player_health;seniorcheese;400;400
[00:03:33] ;player_ult;seniorcheese;0;0
[00:03:33] ;player_status;Midreadias;Sigma;(-62.10, 3.78, -51.95)
[00:03:33] ;player_health;Midreadias;400;400
[00:03:33] ;player_ult;Midreadias;0;0
[00:03:33] ;player_status;burninate;Ashe;(-46.39, 6.00, -57.28)
[00:03:33] ;player_health;burninate;200;200
[00:03:33] ;player_ult;burninate;0;0
[00:03:33] ;did_healing;JohnnyB;10.56;teejusb
[00:03:33] ;did_healing;JohnnyB;8.88;teejusb
[00:03:34] ;player_status;JohnnyB;Mercy;(-79.76, 24.27, -67.42)
[00:03:34] ;player_health;JohnnyB;200;200
[00:03:34] ;player_ult;JohnnyB;0;0
[00:03:34] ;player_status;BiggieZ;Bastion;(-93.58, 4.00, -64.37)
[00:03:34] ;player_health;BiggieZ;300;300
[00:03:34] ;player_ult;BiggieZ;0;0
[00:03:34] ;player_status;Yomi;Lúcio;(-98.11, 4.00, -54.57)
[00:03:34] ;player_health;Yomi;200;200
[00:03:34] ;player_ult;Yomi;0;0
[00:03:34] ;player_status;teejusb;Pharah;(-79.18, 17.85, -64.74)
[00:03:34] ;player_health;teejusb;200;200
[00:03:34] ;player_ult;teejusb;0;0
[00:03:34] ;player_status;Electric;Baptiste;(-56.95, 3.86, -50.83)
[00:03:34] ;player_health;Electric;200;200
[00:03:34] ;player_ult;Electric;0;0
[00:03:34] ;player_status;jhan;Mei;(-97.30, 4.00, -54.11)
[00:03:34] ;player_health;jhan;250;250
[00:03:34] ;player_ult;jhan;0;0
[00:03:34] ;player_status;hypnobeam;Reinhardt;(-97.78, 4.00, -54.22)
[00:03:34] ;player_health;hypnobeam;550;550
[00:03:34] ;player_ult;hypnobeam;0;0
[00:03:34] ;player_status;MortalWombat;Wrecking Ball;(-79.09, 8.22, -53.54)
[00:03:34] ;player_health;MortalWombat;600;600
[00:03:34] ;player_ult;MortalWombat;0;0
[00:03:34] ;player_status;Catalyst;Ana;(-96.40, 4.00, -57.92)
[00:03:34] ;player_health;Catalyst;200;200
[00:03:34] ;player_ult;Catalyst;0;0
[00:03:34] ;player_status;seniorcheese;Zarya;(-98.12, 4.00, -52.66)
[00:03:34] ;player_health;seniorcheese;400;400
[00:03:34] ;player_ult;seniorcheese;0;0
[00:03:34] ;player_status;Midreadias;Sigma;(-61.95, 4.03, -53.09)
[00:03:34] ;player_health;Midreadias;400;400
[00:03:34] ;player_ult;Midreadias;0;0
[00:03:34] ;player_status;burninate;Ashe;(-46.26, 6.00, -57.33)
[00:03:34] ;player_health;burninate;200;200
[00:03:34] ;player_ult;burninate;0;0
[00:03:35] ;player_status;JohnnyB;Mercy;(-80.70, 22.24, -68.74)
[00:03:35] ;player_health;JohnnyB;200;200
[00:03:35] ;player_ult;JohnnyB;0;0
[00:03:35] ;player_status;BiggieZ;Bastion;(-88.45, 4.00, -64.49)
[00:03:35] ;player_health;BiggieZ;300;300
[00:03:35] ;player_ult;BiggieZ;0;0
[00:03:35] ;player_status;Yomi;Lúcio;(-102.73, 3.85, -49.85)
[00:03:35] ;player_health;Yomi;200;200
[00:03:35] ;player_ult;Yomi;0;0
[00:03:35] ;player_status;teejusb;Pharah;(-82.48, 16.73, -63.50)
[00:03:35] ;player_health;teejusb;200;200
[00:03:35] ;player_ult;teejusb;0;0
[00:03:35] ;player_status;Electric;Baptiste;(-59.86, 3.85, -52.13)
[00:03:35] ;player_health;Electric;200;200
[00:03:35] ;player_ult;Electric;0;0
[00:03:35] ;player_status;jhan;Mei;(-101.61, 3.85, -51.67)
[00:03:35] ;player_health;jhan;250;250
[00:03:35] ;player_ult;jhan;0;0
[00:03:35] ;player_status;hypnobeam;Reinhardt;(-100.07, 3.85, -48.43)
[00:03:35] ;player_health;hypnobeam;550;550
[00:03:35] ;player_ult;hypnobeam;0;0
[00:03:35] ;player_status;MortalWombat;Wrecking Ball;(-79.09, 8.22, -53.54)
[00:03:35] ;player_health;MortalWombat;600;600
[00:03:35] ;player_ult;MortalWombat;0;0
[00:03:35] ;player_status;Catalyst;Ana;(-98.76, 4.00, -53.46)
[00:03:35] ;player_health;Catalyst;200;200
[00:03:35] ;player_ult;Catalyst;0;0
[00:03:35] ;player_status;seniorcheese;Zarya;(-97.17, 3.89, -47.13)
[00:03:35] ;player_health;seniorcheese;400;400
[00:03:35] ;player_ult;seniorcheese;0;0
[00:03:35] ;player_status;Midreadias;Sigma;(-60.98, 3.85, -51.54)
[00:03:35] ;player_health;Midreadias;400;400
[00:03:35] ;player_ult;Midreadias;0;0
[00:03:35] ;player_status;burninate;Ashe;(-46.24, 6.00, -57.21)
[00:03:35] ;player_health;burninate;200;200
[00:03:35] ;player_ult;burninate;0;0
[00:03:36] ;player_status;JohnnyB;Mercy;(-80.70, 20.21, -69.90)
[00:03:36] ;player_health;JohnnyB;200;200
[00:03:36] ;player_ult;JohnnyB;1;0
[00:03:36] ;player_status;BiggieZ;Bastion;(-86.03, 4.00, -64.02)
[00:03:36] ;player_health;BiggieZ;300;300
[00:03:36] ;player_ult;BiggieZ;0;0
[00:03:36] ;player_status;Yomi;Lúcio;(-99.58, 3.85, -44.29)
[00:03:36] ;player_health;Yomi;200;200
[00:03:36] ;player_ult;Yomi;0;0
[00:03:36] ;player_status;teejusb;Pharah;(-85.67, 18.22, -61.10)
[00:03:36] ;player_health;teejusb;200;200
[00:03:36] ;player_ult;teejusb;0;0
[00:03:36] ;player_status;Electric;Baptiste;(-60.03, 3.85, -52.19)
[00:03:36] ;player_health;Electric;200;200
[00:03:36] ;player_ult;Electric;0;0
[00:03:36] ;player_status;jhan;Mei;(-98.65, 4.83, -45.60)
[00:03:36] ;player_health;jhan;250;250
[00:03:36] ;player_ult;jhan;1;0
[00:03:36] ;player_status;hypnobeam;Reinhardt;(-97.34, 3.85, -44.53)
[00:03:36] ;player_health;hypnobeam;550;550
[00:03:36] ;player_ult;hypnobeam;1;0
[00:03:36] ;player_status;MortalWombat;Wrecking Ball;(-78.84, 8.22, -53.90)
[00:03:36] ;player_health;MortalWombat;600;600
[00:03:36] ;player_ult;MortalWombat;1;0
[00:03:36] ;player_status;Catalyst;Ana;(-101.50, 3.85, -47.26)
[00:03:36] ;player_health;Catalyst;200;200
[00:03:36] ;player_ult;Catalyst;0;0
[00:03:36] ;player_status;seniorcheese;Zarya;(-93.63, 4.65, -41.76)
[00:03:36] ;player_health;seniorcheese;400;400
[00:03:36] ;player_ult;seniorcheese;0;0
[00:03:36] ;player_status;Midreadias;Sigma;(-65.83, 3.85, -52.45)
[00:03:36] ;player_health;Midreadias;400;400
[00:03:36] ;player_ult;Midreadias;1;0
[00:03:36] ;player_status;burninate;Ashe;(-46.22, 6.04, -57.08)
[00:03:36] ;player_health;burninate;200;200
[00:03:36] ;player_ult;burninate;0;0
[00:03:36] ;damage_dealt;burninate;38.00;seniorcheese
[00:03:37] ;damage_dealt;Electric;36.20;seniorcheese
[00:03:37] ;player_status;JohnnyB;Mercy;(-85.22, 18.18, -67.47)
[00:03:37] ;player_health;JohnnyB;200;200
[00:03:37] ;player_ult;JohnnyB;1;0
[00:03:37] ;player_status;BiggieZ;Bastion;(-85.12, 4.00, -64.38)
[00:03:37] ;player_health;BiggieZ;300;300
[00:03:37] ;player_ult;BiggieZ;1;0
[00:03:37] ;player_status;Yomi;Lúcio;(-96.05, 3.84, -39.39)
[00:03:37] ;player_health;Yomi;200;200
[00:03:37] ;player_ult;Yomi;0;0
[00:03:37] ;player_status;teejusb;Pharah;(-84.79, 18.46, -60.25)
[00:03:37] ;player_health;teejusb;200;200
[00:03:37] ;player_ult;teejusb;1;0
[00:03:37] ;damage_dealt;Electric;20.21;seniorcheese
[00:03:37] ;player_status;Electric;Baptiste;(-59.10, 3.85, -51.94)
[00:03:37] ;player_health;Electric;200;200
[00:03:37] ;player_ult;Electric;3;0
[00:03:37] ;player_status;jhan;Mei;(-95.60, 4.77, -39.75)
[00:03:37] ;player_health;jhan;250;250
[00:03:37] ;player_ult;jhan;1;0
[00:03:37] ;player_status;hypnobeam;Reinhardt;(-94.36, 3.85, -42.13)
[00:03:37] ;player_health;hypnobeam;550;550
[00:03:37] ;player_ult;hypnobeam;1;0
[00:03:37] ;player_status;MortalWombat;Wrecking Ball;(-77.93, 7.98, -54.67)
[00:03:37] ;player_health;MortalWombat;600;600
[00:03:37] ;player_ult;MortalWombat;1;0
[00:03:37] ;player_status;Catalyst;Ana;(-99.77, 4.00, -40.69)
[00:03:37] ;player_health;Catalyst;200;200
[00:03:37] ;player_ult;Catalyst;1;0
[00:03:37] ;player_status;seniorcheese;Zarya;(-88.03, 4.83, -40.95)
[00:03:37] ;player_health;seniorcheese;305.59;400
[00:03:37] ;player_ult;seniorcheese;1;0
[00:03:37] ;player_status;Midreadias;Sigma;(-70.43, 4.00, -55.40)
[00:03:37] ;player_health;Midreadias;400;400
[00:03:37] ;player_ult;Midreadias;1;0
[00:03:37] ;player_status;burninate;Ashe;(-45.38, 6.00, -57.44)
[00:03:37] ;player_health;burninate;200;200
[00:03:37] ;player_ult;burninate;2;0
[00:03:37] ;damage_dealt;seniorcheese;42;MortalWombat
[00:03:38] ;player_status;JohnnyB;Mercy;(-89.20, 17.80, -66.17)
[00:03:38] ;player_health;JohnnyB;200;200
[00:03:38] ;player_ult;JohnnyB;1;0
[00:03:38] ;player_status;BiggieZ;Bastion;(-85.12, 4.00, -64.38)
[00:03:38] ;player_health;BiggieZ;300;300
[00:03:38] ;player_ult;BiggieZ;1;0
[00:03:38] ;player_status;Yomi;Lúcio;(-91.74, 4.00, -37.92)
[00:03:38] ;player_health;Yomi;200;200
[00:03:38] ;player_ult;Yomi;1;0
[00:03:38] ;player_status;teejusb;Pharah;(-87.71, 19.50, -58.05)
[00:03:38] ;player_health;teejusb;200;200
[00:03:38] ;player_ult;teejusb;1;0
[00:03:38] ;player_status;Electric;Baptiste;(-54.86, 4.15, -52.85)
[00:03:38] ;player_health;Electric;200;200
[00:03:38] ;player_ult;Electric;3;0
[00:03:38] ;player_status;jhan;Mei;(-90.51, 3.85, -38.91)
[00:03:38] ;player_health;jhan;250;250
[00:03:38] ;player_ult;jhan;1;0
[00:03:38] ;player_status;hypnobeam;Reinhardt;(-89.59, 3.85, -41.02)
[00:03:38] ;player_health;hypnobeam;550;550
[00:03:38] ;player_ult;hypnobeam;1;0
[00:03:38] ;player_status;MortalWombat;Wrecking Ball;(-75.31, 4.00, -62.49)
[00:03:38] ;player_health;MortalWombat;558;600
[00:03:38] ;player_ult;MortalWombat;1;0
[00:03:38] ;player_status;Catalyst;Ana;(-94.51, 3.85, -36.99)
[00:03:38] ;player_health;Catalyst;200;200
[00:03:38] ;player_ult;Catalyst;1;0
[00:03:38] ;player_status;seniorcheese;Zarya;(-85.12, 4.26, -43.41)
[00:03:38] ;player_health;seniorcheese;305.59;400
[00:03:38] ;player_ult;seniorcheese;3;0
[00:03:38] ;player_status;Midreadias;Sigma;(-69.21, 3.85, -50.71)
[00:03:38] ;player_health;Midreadias;400;400
[00:03:38] ;player_ult;Midreadias;1;0
[00:03:38] ;player_status;burninate;Ashe;(-45.59, 6.00, -57.22)
[00:03:38] ;player_health;burninate;200;200
[00:03:38] ;player_ult;burninate;3;0
[00:03:38] ;used_ability_1;JohnnyB;Mercy;<Icon>
[00:03:39] ;damage_dealt;Midreadias;55;seniorcheese
[00:03:39] ;used_ability_1;seniorcheese;Zarya;<Icon>
[00:03:39] ;player_status;JohnnyB;Mercy;(-89.08, 20.12, -59.44)
[00:03:39] ;player_health;JohnnyB;200;200
[00:03:39] ;player_ult;JohnnyB;1;0
[00:03:39] ;player_status;BiggieZ;Bastion;(-86.45, 4.00, -63.59)
[00:03:39] ;player_health;BiggieZ;300;300
[00:03:39] ;player_ult;BiggieZ;1;0
[00:03:39] ;player_status;Yomi;Lúcio;(-92.07, 3.85, -38.92)
[00:03:39] ;player_health;Yomi;200;200
[00:03:39] ;player_ult;Yomi;1;0
[00:03:39] ;player_status;teejusb;Pharah;(-89.47, 19.60, -53.34)
[00:03:39] ;player_health;teejusb;200;200
[00:03:39] ;player_ult;teejusb;1;0
[00:03:39] ;player_status;Electric;Baptiste;(-51.00, 5.56, -49.69)
[00:03:39] ;player_health;Electric;200;200
[00:03:39] ;player_ult;Electric;3;0
[00:03:39] ;player_status;jhan;Mei;(-85.20, 4.53, -41.63)
[00:03:39] ;player_health;jhan;250;250
[00:03:39] ;player_ult;jhan;2;0
[00:03:39] ;player_status;hypnobeam;Reinhardt;(-84.46, 3.85, -40.64)
[00:03:39] ;player_health;hypnobeam;550;550
[00:03:39] ;player_ult;hypnobeam;2;0
[00:03:39] ;player_status;MortalWombat;Wrecking Ball;(-78.30, 4.00, -72.08)
[00:03:39] ;player_health;MortalWombat;558;600
[00:03:39] ;player_ult;MortalWombat;2;0
[00:03:39] ;player_status;Catalyst;Ana;(-95.80, 3.85, -37.03)
