[00:00:00] ;map;Lijiang Tower;;0
[00:00:00] ;player_team;seniorcheese;Team 2;0
[00:00:00] ;player_team;Electric;Team 1;0
[00:00:00] ;player_team;hypnobeam;Team 2;0
[00:00:01] ;player_team;MortalWombat;Team 1;0
[00:00:01] ;player_team;Catalyst;Team 2;0
[00:00:01] ;player_team;jhan;Team 2;0
[00:00:01] ;player_team;Yomi;Team 2;0
[00:00:01] ;player_team;JohnnyB;Team 1;0
[00:00:01] ;player_team;BiggieZ;Team 2;0
[00:00:01] ;player_team;Midreadias;Team 1;0
[00:00:01] ;player_team;ModWilliam;Team 1;0
[00:00:01] ;player_team;teejusb;Team 1;0
[00:02:22] ;player_status;teejusb;Pharah;(72.20, 4.48, -31.96)
[00:02:22] ;player_health;teejusb;200;200
[00:02:22] ;player_ult;teejusb;0;0
[00:02:22] ;player_status;ModWilliam;Echo;(71.10, 4.48, -32.86)
[00:02:22] ;player_health;ModWilliam;200;200
[00:02:22] ;player_ult;ModWilliam;0;0
[00:02:22] ;player_status;Midreadias;Sigma;(71.01, 4.47, -32.04)
[00:02:22] ;player_health;Midreadias;400;400
[00:02:22] ;player_ult;Midreadias;0;0
[00:02:22] ;player_status;BiggieZ;Symmetra;(-68.52, 4.47, -30.25)
[00:02:22] ;player_health;BiggieZ;225;225
[00:02:22] ;player_ult;BiggieZ;0;0
[00:02:22] ;player_status;jhan;Tracer;(-74.21, 4.46, -29.17)
[00:02:22] ;player_health;jhan;150;150
[00:02:22] ;player_ult;jhan;0;0
[00:02:22] ;player_status;Yomi;Lúcio;(-72.12, 4.46, -30.23)
[00:02:22] ;player_health;Yomi;200;200
[00:02:22] ;player_ult;Yomi;0;0
[00:02:22] ;used_ability_1;Yomi;Lúcio;<Icon>
[00:02:22] ;player_status;JohnnyB;Mercy;(72.05, 4.49, -33.27)
[00:02:22] ;player_health;JohnnyB;200;200
[00:02:22] ;player_ult;JohnnyB;0;0
[00:02:22] ;player_status;Catalyst;Brigitte;(-69.14, 4.48, -30.92)
[00:02:22] ;player_health;Catalyst;200;200
[00:02:22] ;player_ult;Catalyst;0;0
[00:02:22] ;player_status;MortalWombat;Wrecking Ball;(81.79, 4.46, -30.05)
[00:02:22] ;player_health;MortalWombat;600;600
[00:02:22] ;player_ult;MortalWombat;0;0
[00:02:22] ;used_ability_1;MortalWombat;Wrecking Ball;<Icon>
[00:02:22] ;player_status;hypnobeam;Reinhardt;(-68.81, 4.48, -30.87)
[00:02:22] ;player_health;hypnobeam;550;550
[00:02:22] ;player_ult;hypnobeam;0;0
[00:02:22] ;player_status;Electric;Zenyatta;(76.41, 4.46, -28.26)
[00:02:22] ;player_health;Electric;200;200
[00:02:22] ;player_ult;Electric;0;0
[00:02:22] ;used_ability_1;Electric;Zenyatta;<Icon>
[00:02:22] ;player_status;seniorcheese;D.Va;(-70.59, 4.47, -31.31)
[00:02:22] ;player_health;seniorcheese;600;600
[00:02:22] ;player_ult;seniorcheese;0;0
[00:02:23] ;used_ability_2;teejusb;Pharah;<Icon>
[00:02:23] ;used_ability_1;seniorcheese;D.Va;<Icon>
[00:02:23] ;player_status;teejusb;Pharah;(67.23, 7.57, -31.76)
[00:02:23] ;player_health;teejusb;200;200
[00:02:23] ;player_ult;teejusb;0;0
[00:02:23] ;player_status;ModWilliam;Echo;(70.10, 5.24, -33.34)
[00:02:23] ;player_health;ModWilliam;200;200
[00:02:23] ;player_ult;ModWilliam;0;0
[00:02:23] ;player_status;Midreadias;Sigma;(68.23, 5.82, -31.59)
[00:02:23] ;player_health;Midreadias;400;400
[00:02:23] ;player_ult;Midreadias;0;0
[00:02:23] ;player_status;BiggieZ;Symmetra;(-64.41, 6.57, -31.18)
[00:02:23] ;player_health;BiggieZ;225;225
[00:02:23] ;player_ult;BiggieZ;0;0
[00:02:23] ;player_status;jhan;Tracer;(-70.83, 4.46, -29.46)
[00:02:23] ;player_health;jhan;150;150
[00:02:23] ;player_ult;jhan;0;0
[00:02:23] ;player_status;Yomi;Lúcio;(-69.93, 4.74, -30.50)
[00:02:23] ;player_health;Yomi;200;200
[00:02:23] ;player_ult;Yomi;0;0
[00:02:23] ;player_status;JohnnyB;Mercy;(67.61, 6.18, -33.24)
[00:02:23] ;player_health;JohnnyB;200;200
[00:02:23] ;player_ult;JohnnyB;0;0
[00:02:23] ;player_status;Catalyst;Brigitte;(-60.93, 7.68, -32.95)
[00:02:23] ;player_health;Catalyst;200;200
[00:02:23] ;player_ult;Catalyst;0;0
[00:02:23] ;player_status;MortalWombat;Wrecking Ball;(76.65, 4.46, -31.27)
[00:02:23] ;player_health;MortalWombat;600;600
[00:02:23] ;player_ult;MortalWombat;0;0
[00:02:23] ;player_status;hypnobeam;Reinhardt;(-67.10, 5.14, -31.24)
[00:02:23] ;player_health;hypnobeam;550;550
[00:02:23] ;player_ult;hypnobeam;0;0
[00:02:23] ;player_status;Electric;Zenyatta;(72.12, 4.48, -31.41)
[00:02:23] ;player_health;Electric;200;200
[00:02:23] ;player_ult;Electric;0;0
