[00:00:00] ;map;Busan;;0
[00:00:01] ;player_team;Yomi;Team 2;0
[00:00:01] ;player_team;Catalyst;Team 2;0
[00:00:01] ;player_team;MortalWombat;Team 1;0
[00:00:01] ;player_team;ModWilliam;Team 1;0
[00:00:01] ;player_team;BiggieZ;Team 2;0
[00:00:01] ;player_team;jhan;Team 2;0
[00:00:01] ;player_team;hypnobeam;Team 2;0
[00:00:01] ;player_team;JohnnyB;Team 1;0
[00:00:01] ;player_team;burninate;Team 1;0
[00:00:01] ;player_team;Electric;Team 1;0
[00:00:01] ;player_team;Midreadias;Team 1;0
[00:00:01] ;player_team;seniorcheese;Team 2;0
[00:01:59] ;player_status;seniorcheese;Zarya;(119.34, 16.98, -125.71)
[00:01:59] ;player_health;seniorcheese;400;400
[00:01:59] ;player_ult;seniorcheese;0;0
[00:01:59] ;player_status;Midreadias;Zarya;(-16.73, 17.00, -125.25)
[00:01:59] ;player_health;Midreadias;400;400
[00:01:59] ;player_ult;Midreadias;0;0
[00:01:59] ;player_status;Electric;Ana;(-19.45, 17.00, -126.40)
[00:01:59] ;player_health;Electric;200;200
[00:01:59] ;player_ult;Electric;0;0
[00:01:59] ;player_status;burninate;Tracer;(-17.89, 17.00, -139.43)
[00:01:59] ;player_health;burninate;150;150
[00:01:59] ;player_ult;burninate;0;0
[00:01:59] ;player_status;JohnnyB;Brigitte;(-17.26, 17.00, -126.12)
[00:01:59] ;player_health;JohnnyB;200;200
[00:01:59] ;player_ult;JohnnyB;0;0
[00:01:59] ;player_status;hypnobeam;Reinhardt;(120.48, 17.00, -125.19)
[00:01:59] ;player_health;hypnobeam;550;550
[00:01:59] ;player_ult;hypnobeam;0;0
[00:01:59] ;player_status;jhan;Mei;(121.45, 17.87, -123.53)
[00:01:59] ;player_health;jhan;250;250
[00:01:59] ;player_ult;jhan;0;0
[00:01:59] ;player_status;ModWilliam;McCree;(-15.60, 17.00, -124.59)
[00:01:59] ;player_health;ModWilliam;225;225
[00:01:59] ;player_ult;ModWilliam;0;0
[00:01:59] ;player_status;BiggieZ;McCree;(119.41, 17.95, -126.03)
[00:01:59] ;player_health;BiggieZ;225;225
[00:01:59] ;player_ult;BiggieZ;0;0
[00:01:59] ;player_status;MortalWombat;Winston;(-17.39, 17.00, -124.26)
[00:01:59] ;player_health;MortalWombat;500;500
[00:01:59] ;player_ult;MortalWombat;0;0
[00:01:59] ;player_status;Yomi;Lúcio;(123.13, 17.00, -124.02)
[00:01:59] ;player_health;Yomi;200;200
[00:01:59] ;player_ult;Yomi;0;0
[00:01:59] ;used_ability_1;Yomi;Lúcio;<Icon>
[00:01:59] ;player_status;Catalyst;Baptiste;(121.74, 17.00, -125.53)
[00:01:59] ;player_health;Catalyst;200;200
[00:01:59] ;player_ult;Catalyst;0;0
[00:02:00] ;used_ability_1;burninate;Tracer;<Icon>
[00:02:00] ;used_ability_1;ModWilliam;McCree;<Icon>
[00:02:00] ;player_status;seniorcheese;Zarya;(116.12, 16.69, -125.43)
[00:02:00] ;player_health;seniorcheese;400;400
[00:02:00] ;player_ult;seniorcheese;0;0
[00:02:00] ;player_status;Midreadias;Zarya;(-16.74, 17.00, -125.17)
[00:02:00] ;player_health;Midreadias;400;400
[00:02:00] ;player_ult;Midreadias;0;0
[00:02:00] ;player_status;Electric;Ana;(-15.77, 17.00, -125.91)
[00:02:00] ;player_health;Electric;200;200
[00:02:00] ;player_ult;Electric;0;0
[00:02:00] ;player_status;burninate;Tracer;(-7.87, 17.56, -141.14)
[00:02:00] ;player_health;burninate;150;150
[00:02:00] ;player_ult;burninate;0;0
[00:02:00] ;used_ability_1;burninate;Tracer;<Icon>
[00:02:00] ;player_status;JohnnyB;Brigitte;(-12.94, 17.46, -125.60)
[00:02:00] ;player_health;JohnnyB;200;200
[00:02:00] ;player_ult;JohnnyB;0;0
[00:02:00] ;player_status;hypnobeam;Reinhardt;(118.73, 17.00, -124.99)
[00:02:00] ;player_health;hypnobeam;550;550
[00:02:00] ;player_ult;hypnobeam;0;0
[00:02:00] ;player_status;jhan;Mei;(121.20, 17.00, -124.96)
[00:02:00] ;player_health;jhan;250;250
[00:02:00] ;player_ult;jhan;0;0
[00:02:00] ;player_status;ModWilliam;McCree;(-12.44, 16.31, -125.32)
[00:02:00] ;player_health;ModWilliam;225;225
[00:02:00] ;player_ult;ModWilliam;0;0
[00:02:00] ;player_status;BiggieZ;McCree;(118.99, 17.00, -124.63)
[00:02:00] ;player_health;BiggieZ;225;225
[00:02:00] ;player_ult;BiggieZ;0;0
[00:02:00] ;player_status;MortalWombat;Winston;(-15.37, 18.03, -125.22)
[00:02:00] ;player_health;MortalWombat;500;500
[00:02:00] ;player_ult;MortalWombat;0;0
