[00:00:00] ;map;Numbani;;0
[00:00:01] ;player_team;burninate;Team 1;0
[00:00:01] ;player_team;Yomi;Team 2;0
[00:00:01] ;player_team;seniorcheese;Team 2;0
[00:00:01] ;player_team;jhan;Team 2;0
[00:00:01] ;player_team;BiggieZ;Team 2;0
[00:00:01] ;player_team;JohnnyB;Team 1;0
[00:00:01] ;player_team;Midreadias;Team 1;0
[00:00:01] ;player_team;MortalWombat;Team 1;0
[00:00:01] ;player_team;ModWilliam;Team 1;0
[00:00:01] ;player_team;Catalyst;Team 2;0
[00:00:01] ;player_team;Electric;Team 1;0
[00:00:01] ;player_team;hypnobeam;Team 2;0
[00:01:28] ;player_status;hypnobeam;Winston;(-7.34, 2.73, 3.33)
[00:01:28] ;player_health;hypnobeam;500;500
[00:01:28] ;player_ult;hypnobeam;0;0
[00:01:28] ;player_status;Electric;Brigitte;(77.92, 6.25, -20.67)
[00:01:28] ;player_health;Electric;200;200
[00:01:28] ;player_ult;Electric;0;0
[00:01:28] ;player_status;Catalyst;Ana;(-9.30, 2.24, 4.53)
[00:01:28] ;player_health;Catalyst;200;200
[00:01:28] ;player_ult;Catalyst;0;0
[00:01:28] ;player_status;ModWilliam;Ashe;(85.57, 6.25, 15.70)
[00:01:28] ;player_health;ModWilliam;200;200
[00:01:28] ;player_ult;ModWilliam;0;0
[00:01:28] ;player_status;Midreadias;D.Va;(78.46, -0.17, 3.65)
[00:01:28] ;player_health;Midreadias;600;600
[00:01:28] ;player_ult;Midreadias;0;0
[00:01:28] ;player_status;MortalWombat;Winston;(70.79, 6.25, -0.06)
[00:01:28] ;player_health;MortalWombat;500;500
[00:01:28] ;player_ult;MortalWombat;0;0
[00:01:28] ;player_status;BiggieZ;Tracer;(-0.76, 0.24, 5.91)
[00:01:28] ;player_health;BiggieZ;150;150
[00:01:28] ;player_ult;BiggieZ;0;0
[00:01:28] ;player_status;JohnnyB;Ana;(90.35, 6.25, 12.42)
[00:01:28] ;player_health;JohnnyB;200;200
[00:01:28] ;player_ult;JohnnyB;0;0
[00:01:28] ;player_status;jhan;Pharah;(-9.63, 2.24, 3.86)
[00:01:28] ;player_health;jhan;200;200
[00:01:28] ;player_ult;jhan;0;0
[00:01:28] ;player_status;seniorcheese;D.Va;(-5.86, 1.24, 4.86)
[00:01:28] ;player_health;seniorcheese;600;600
[00:01:28] ;player_ult;seniorcheese;0;0
[00:01:28] ;player_status;Yomi;Mercy;(-10.31, 2.24, 2.03)
[00:01:28] ;player_health;Yomi;200;200
[00:01:28] ;player_ult;Yomi;0;0
[00:01:28] ;player_status;burninate;Tracer;(81.27, 6.25, 16.29)
[00:01:28] ;player_health;burninate;150;150
[00:01:28] ;player_ult;burninate;0;0
